"name","url","notes","email","phone","contact","type_community","civic_taxonomy","district","neighborhood","categories","ownership","ethnicity","size_organization","address","zipcode","source"
"Afrique Service Center","http://afrsc.org/","Promote social welfare for refugees, immigrants and minorities through family advocacy, domestic violence prevention, gang intervention, cultural & education awareness, tutoring, and referral services","msheikh80@gmail.com ","206-380-8826","Mohamed Sheikh Hassan","RSJ","Education; Abuse","Southeast","Rainier Valley","Service provider","Nonprofit","African",,"5706 Rainier Ave Ave S Seattle",98118,"DON"
"Al-Anon/Alateen Information Service","http://www.seattle-al-anon.org/","Provide resources and support to those affected by alcohol abuse","ais@seattle-al-anon.org","206-625-0000 ",,"Social justice","Substance abuse","Citywide",,"Information","Nonprofit",,,"1402 3rd Ave. Vance Bldg, Suite 803",98101,"DON"
"Alki Community Council","http://alkinews.wordpress.com/alki-links/","Address issues in the Alki neighborhood","alkicouncil@gmail.com; jule@comcast.net","206-938-7508","Jule Sugarman","Community council","Neighborhood","Southwest","Alki","Advocacy","Community group",,0,"1140 Alki Ave SW  #505",98116,"DON"
"All About South Park","http://www.allaboutsouthpark.com/","Provide community news and information","spiarc@comcast.net","206-767-7445",,"Media","Neighborhood","Greater Duwamish","South Park","Information","Media",,,"8520 14th Ave S",98108,"DOIT"
"Alliance for Education","http://www.alliance4ed.org/","Help Seattle students achieve success","info@alliance4ed.org; all_kids_succeed@alliance4ed.org","206-343-0449",,"Youth & family","Education","Citywide",,"Education","Nonprofit",,13,"509 Olive Way Suite 500 ",98101,"DPR"
"American Friends Service Committee","http://afsc.org/office/seattle-wa","Work for social justice in keeping with Quaker values","afscpnr@afsc.org","206-632-0500",,"Social justice","Social action","Citywide",,"Advocacy","Nonprofit",,,"814 NE 40th Street",98105,"DPR"
"American Red Cross Serving King & Kitsap Counties","http://www.seattleredcross.org/","Provide relief to victims of disasters and help people prevent, prepare for and respond to emergencies","info@seattleredcross.org","206-323-2345","Randy Hutson","Social justice","Health","Citywide",,"Service provider","Nonprofit",,"Regional","1900 25th Ave. S.",98114,"DON"
"Arab American Community Coalition","http://www.theaacc.org/","Educate the community about Arab American culture and provide support","info@theaacc.org","206-634-9001","Amin Odeh","RSJ","Social justice","Citywide",,"Advocacy","Nonprofit","Arab",0,"PO Box 31642",98103,"DON"
"Arab Center of Washington","http://arabcenter.net/","Promote rich and vibrant Arab culture","info@arabcenter.net",,"Karen Tabakha","RSJ","Community","Citywide",,"Service provider","Community group","Arab",0,"12525 28th Ave NE, 2nd Floor",98125,"DON"
"Arboretum Foundation","http://www.arboretumfoundation.org/","Preserves the Washington Park Arboretum through fundraising, volunteers, and advocacy","info@arboretumfoundation.org","206-325-4510",,"Environment","Parks","East","Capitol Hill","Advocacy","Nonprofit",,0,"2300 Arboretum Dr E",98112,"DPR"
"Arts In Motion","http://www.aimschool.org/index.php","Serve students of the Rainier Valley and surrounding area with instruction in music, art, theater, film and dance","info@aimschool.org","206-723-3131",,"Youth & family","Arts","Southeast",,"Education","Nonprofit",,6,"3405 S. Alaska St",98118,"DON"
"Arts West","http://www.artswest.org/","Presents art events to promote culture","rachelj@artswest.org","206-938-0963",,"Arts","Support","Southwest",,"Service provider","Nonprofit",,10,"4711 California Ave SW",98116,"DPR"
"ArtsCorps","http://www.artscorps.org/index.html","Encourages youth creativity through education by artists","info@artscorps.org","206-722-5440",,"Youth & family","Arts","Citywide",,"Education","Nonprofit",,9,"4408 Delridge Way SW",98106,"DPR"
"Asian & Pacific Islander Women & Family Safety Center","http://www.apiwfsc.org/","Prevent and remedy domestic violence, sexual assault, and human trafficking through culturally relevant training and education","apiwfsc@apiwfsc.org","206-467-9976","Yeong Woo","RSJ","Abuse","Citywide",,"Service provider","Community group","Asian Pacific Islander",,"606 Maynard Ave. South Suite 101",98104,"DON"
"Asian Counseling and Referral Service","http://acrs.org/","Promote social justice and the well-being and empowerment of Asian Pacific Americans through community-based multilingual and multicultural services","janet@acrs.org; joycez@acrs.org ","206-695-7600",,"RSJ","Abuse; Education; Employment; Emergency; Immigration; Health; Seniors; Substance abuse","Greater Duwamish","Beacon Hill","Service provider","Nonprofit","Asian Pacific Islander",200,"3639 Martin Luther King Jr. Way S",98144,"DPR"
"Asian Pacific Islander Coalition Against Tobacco (WAPIFASA)","http://www.wapifasa.org/","Develop community leadership for outreach, education, policy, and advocacy in tobacco control","elaine@apicat.org","206-223-9578 ","Elaine Ishihara","RSJ","Health","Citywide",,"Advocacy","Nonprofit","Asian Pacific Islander",4,"606 Maynard Avenue South, Suite 102",98104,"DON"
"Atlantic Street Center","http://atlanticstreet.org/","Help children develop academically, emotionally and socially and support their families","ascinfo@atlanticstreet.org","206-329-2050","Edith Elion","Youth & family","Education","Citywide","Central, South Seattle","Service provider","Nonprofit","People of color",13,"2103 South Atlantic Street",98144,"DON"
"Aurora Avenue Merchants Association","http://auroramerchants.org/","Advance community business interests","garneau_properties@msn.com","206-526-1366 ","Faye Garneau","Business","Neighborhood","Northwest","Aurora-Licton Springs","Advocacy","Community group",,0,"951 North 100th",98133,"DON"
"Aurora Seattle Blog","http://www.auroraseattle.com/","Provide community news and information","auroraseattleblog@gmail.com ",,,"Media","Neighborhood","Northwest","Aurora-Licton Springs","Information","Media",,,,98113,"DOIT"
"Ballard Blog","http://ballardblog.com/","Provide community news and information","editor@ballardblog.com",,,"Media","Neighborhood","Ballard",,"Information","Media",,,,98107,"DOIT"
"Ballard Chamber of Commerce","http://ballardchamber.com/","Promote business and community","beth@ballardchamber.com; info@ballardchamber.com","206-784-9705","Beth Miller","Business","Neighborhood","Ballard",,"Advocacy","Community group",,2,"2208 NW Market St Suite 100",98107,"DPR"
"Ballard District Council ","http://www.cityofseattle.net/neighborhoodcouncil/members.htm","Advise the city on budget issues and provide a forum for community discussion","jmacuiba@comcast.net","206-781-1878","Jennifer Macuiba","Community council","District","Ballard",,"Advocacy","Community group",,0,"3041 NW 72nd St",98117,"DON"
"Ballard Family Center ","http://www.phinneycenter.org/bfc/","Provide social services and education to individuals and families",,"206-706-9645",,"Youth & family","Education; Health; Seniors","Ballard",,"Service provider","Community group",,,"5449 Ballard Avenue NW",98107,"DPR"
"Ballard Gossip Girl","http://www.ballardgossipgirl.com/","Provide community news and information","gossip@ballardgossipgirl.com",,,"Media","Neighborhood","Ballard",,"Information","Media",,,,98107,"DOIT"
"Ballard Historical Society","http://www.ballardhistory.org/","Preserve the history and architecture of Ballard","president@ballardhistory.org; gselfrid@windermere.com","206-660-8463","Georgia Selfridge","Social justice","History","Ballard",,"Service provider","Community group",,0,"PO Box 17775",98127,"DON"
"Ballard Northwest Senior Center","http://www.ballardseniorcenter.org/","Promote emotional, social and physical well-being of older adults through community center","admin@nwseniorcenter.org","206-297-0403",,"Social justice","Seniors; Health","Ballard",,"Service provider","Community group",,5,"5429 32nd NW",98107,"DPR"
"Beacon Alliance of Neighbors","http://www.seattle.gov/ban/index.htm","Improve the quality of life on Beacon Hill","catman@seanet.com","206-328-2827","Craig Thompson","Community council","Neighborhood","Greater Duwamish","Beacon Hill","Advocacy","Community group",,,"1311 13th Ave S",98144,"DON"
"Beacon Hill Blog","http://beaconhill.seattle.wa.us/","Provide community news and information","blog@beaconhill.seattle.wa.us","206-428-7733","Wendi Dunlap and Jason Simpson","Media","Neighborhood","Greater Duwamish","Beacon Hill","Information","Media",,,"PO Box 24131",98124,"DOIT"
"Beacon Hill Chamber of Commerce","http://www.beaconhillchamber.com","Provide leadership to improve the quality of business and community life","info@beaconhillchamber.com","206-322-3773",,"Business","Neighborhood","Greater Duwamish","Beacon Hill","Advocacy","Community group",,0,"3801 Beacon Ave S",98108,"DPR"
"Beacon Hill Pedestrians",,"Support pedestrian-oriented spaces and health in the Beacon Hill neighborhood","robphin@yahoo.com","206-323-1792","Robert Hinrix","Environment","Health","Greater Duwamish","Beacon Hill","Advocacy","Community group",,0,"2817 14th Ave S",98144,"DON"
"Beacon Ridge Improvement Community","http://bric.extrapolation.com/","Improve public safety, eliminate street crime, and build a stronger and more livable community","bric@extrapolation.com",,,"Community council","Neighborhood","Greater Duwamish","Beacon Hill","Service provider","Community group",,0,,98108,"DPR"
"Belltown Business Associaton","http://belltown.org/outsidelink.php?title=ExternalLink&url=http://www.belltownbiz.org","Create a vibrant and safe community for businesses and residents","tenglish@plymouthhousing.org; info@belltown.org",,"Tom English","Business","Neighborhood","Downtown","Belltown","Advocacy","Community group",,0,"2608 Second Ave PMB 290",98121,"DPR"
"Belltown Community Council",,"Support community and address problems in Belltown","zanderb@aol.com","206-443-9438","Zander Batchelder","Community council","Neighborhood","Downtown","Belltown","Advocacy","Community group",,0,"2205 2nd Ave #209",98121,"DON"
"Belltown Land Use & Housing Subcommittee","http://www.belltown.org/bhlus.php","Advise the Belltown community council on development and land use","zanderb@aol.com","206-443-9438","Zander Batchelder","Environment","Neighborhood","Downtown","Belltown","Advocacy","Community group",,0,"2205 2nd Ave #209",98121,"DON"
"Belltown People","http://www.belltownpeople.com/","Provide community news and information","belltownpeople@gmail.com",,,"Media","Neighborhood","Downtown","Belltown","Information","Media",,,,98121,"DOIT"
"Belltown.org","http://www.belltown.org/","Provide community news and information","info@belltown.org",,,"Media","Neighborhood","Downtown","Belltown","Information","Media",,,,98121,"DOIT"
"Belvedere Terrace Community Council",,"Address community issues ","surfprague@yahoo.com","206-528-1051","Nicolette Bromberg","Community council","Neighborhood","Northeast","Belvedere Terrace","Advocacy","Community group",,0,"5811 56th Ave NE",98105,"DON"
"Big Brothers Big Sisters - King Central","http://www.bbbsps.org/NetCommunity/","Help children through volunteer mentors","392-agencyinfo@bbbs.org","206-763-9060",,"Youth & family","Social action","Citywide",,"Service provider","Nonprofit",,32,"1600 S Graham St ",98108,"DPR"
"Bike Works","http://www.bikeworks.org/","Build sustainable communities through educating youth and promoting biking","info@bikeworks.org","206-725-9408",,"Youth & family","Health; Education; Environment","Southeast","Rainier Valley","Service provider","Nonprofit",,13,"3709 S Ferdinand St ",98118,"DPR"
"Bikur Cholim - Ashkenazic Orthodox congregation","http://www.ou.org/network/shuls/bikurcholim.htm","Provides Jewish services and community events","bcmh@iname.com","206-721-0970 ",,"RSJ","Community","Southeast","Seward Park","Service provider","Community group",,,"5145 S Morgan St",98118,"DPR"
"Bilingual Family Center - Seattle Public Schools","http://www.seattleschools.org/area/bfc/index.dxml","Provide multilingual assistance for families and students with school-related issues","neugenio@seattleschools.org","206-252-7750","Narcita Eugenio","Youth & family","RSJ; Education","Citywide",,"Service provider","Nonprofit","People of color",,"2445 3RD Avenue S",98134,"DON"
"BINMIC (Ballard Interbay Northend Manufacturing & Industrial Center) Action Committee","http://www.cityofseattle.net/Neighborhoods/npi/stewards.htm","Provide neighborhood upkeep and improvement","jkane@kane-environmental.com","206-691-0476","John Kane","Community council","Planning","Ballard",,"Service provider","Community group",,0,"5604 22nd Ave NW",98107,"DON"
"Blogging Georgetown","http://thepapernoose.blogspot.com/","Provide community news and information","lost_can@yahoo.com",,,"Media","Neighborhood","Greater Duwamish","Georgetown","Information","Media",,,,98108,"Online"
"Blue Earth Alliance","http://blueearth.org/","Supports photographers who want to inspire social change","bart@blueearth.org","206-725-4913","Bart Cannon","Arts","Environment; Social Action","Citywide",,"Service provider","Nonprofit",,1,"PO Box 4490",98194,"DPR"
"Blue Ridge Community Club","http://www.blueridgeseattle.com/","Provide community center, activities, and community support ","sara.dorland@darigold.com; webmaster@blueridgeseattle.com",,"Sara Dorland","Community council","Neighborhood","Ballard","Blue Ridge","Service provider","Community group",,,"10040 15th Ave NW",98177,"DON"
"Boys and Girls Club of King County","http://www.positiveplace.org/","Offers programs and community centers for kids","info@positiveplace.org","206-436-1800",,"Youth & family","Community","Citywide",,"Service provider","Nonprofit",,23,"603 Stewart #300 ",98101,"DPR"
"Broadview Community Council","http://www.broadviewcc.info/","Address community issues in Broadview","dalerayjohnson@comcast.net; daljoh44@hotmail.com","206-362-2980","Dale Johnson","Community council","Neighborhood","Northwest","Broadview","Advocacy","Community group",,0,"PO Box 77761",98177,"DPR"
"Broadview Historical Society",,"Preserve the history and culture of Broadview","gloriabutts@hotmail.com","206-365-7295","Gloria Butts","Social justice","History","Northwest","Broadview","Service provider","Community group",,0,"12009 1st Ave NW",98177,"DON"
"Broadway Bound Children's Theatre","http://www.broadwaybound.org/","Provide theatre training and opportunities for Seattle youth","jim@broadwaybound.org","206-526-5437","Jim D'Asaro","Youth & family","Arts","Citywide",,"Education","Nonprofit",,6,"5031 University Way NE",98105,"DON"
"Broadway Business Improvement Association","http://www.broadwaybia.org/; http://caphillchamber.org/advocacy/bia","Provide a clean and safe business environment and advocate for improvement","info@broadwaybia.org; paul@broadwaymarketvideo.com","206-328-6646","Paul Dwoskin","Business","Neighborhood","East","Capitol Hill","Advocacy","Community group",,0,"925 E Thomas St",98102,"DON"
"Bullitt Foundation","http://bullitt.org/","Protect the environment by promoting responsibility and sustainable communities","info@bullitt.org","206-343-0822",,"Environment","Resources","Citywide",,"Advocacy","Nonprofit",,6,"1212 Minor Ave",98101,"DPR"
"Businesses of Broadway",,"Support business and community in Capitol Hill",,"206-323-2929",,"Business","Neighborhood","East","Capitol Hill","Advocacy","Community group",,0,"229 Broadway E Ste 4",98102,"DPR"
"Cal Anderson Park Alliance","http://www.calandersonpark.org/index.cfm","Activate and invigorate Cal Anderson Park through events and care","info@calandersonpark.org; bradford53@hotmail.com","206-910-0407","Brad Trenary","Environment","Parks","East","Capitol Hill","Service provider","Community group",,0,"1102 E Denny Way",98122,"DON"
"Cambodian Women's Association",,"Provides immigration, housing, and other services","amarita@u.washington.edu","206-721-8592","Paularita Seng","RSJ","Housing; Immigration","Southeast","Columbia City","Service provider","Community group","Khmer",0,"3603 S Alaska St",98118,"DPR"
"Camp Fire Girls Puget Sound Council","http://www.campfire-usa.org/","Provides programs to help in youth development","info@campfire-usa.org","206-461-8550 ",,"Youth & family","Community","Citywide",,"Service provider","Nonprofit",,,"4241 21st Ave W Suite 200 ",98199,"DPR"
"Camp Long Advisory Council","http://www.cityofseattle.net/parks/environment/camplong.htm","Advise the city on how to best care for Camp Long","mat.mcbride@gmail.com; camplong@seattle.gov ","206-684-7434","Mat McBride","Environment","Parks","Delridge",,"Advocacy","Community group",,,"5200 35th Ave. SW",98106,"DON"
"Campana Quetzal","http://www.campanaquetzal.org/","Unleash the academic and personal potential of each Latino student and eliminate the academic achievement gap","mariag@campanaquetzal.org; info@campanaquetzal.org","206-218-9650","Maria Ramirez","Youth & family","Education; RSJ","Delridge",,"Education","Nonprofit","Latino",16,"6737 Corson Ave S. Building B, room 105",98108,"DON"
"Capitol Hill Chamber of Commerce","http://www.caphillchamber.org/home","Spearhead economic, business and community development and promote a livable and unique community","jack@caphillchamber.org","206-328-6646 ","Jack Hilovsky ","Business","Neighborhood","East","Capitol Hill","Advocacy","Community group",,4,"925 E Thomas St",98102,"DON"
"Capitol Hill Community Council","http://capitolhillcommunitycouncil.org/","Empower the residents of our neighborhood to make Capitol Hill an even greater place in which to live, work, and visit","chcc.officers@gmail.com",,,"Community council","Neighborhood","East","Capitol Hill","Advocacy","Community group",,0,"PO Box 20641",98102,"DPR"
"Capitol Hill Community Resource Center","http://www.chcrc.org/","Provides food and other services for those in need",,"206-322-4567",,"Social justice","Emergency","East","Capitol Hill","Service provider","Community group",,,"509 10th Ave E",98102,"DPR"
"Capitol Hill Housing Improvement Program","http://capitolhillhousing.org/","Provide afforable housing and preserve community character","cpersons@capitolhillhousing.org; info@chhip.org","206-329-7303","Chris Persons","Social justice","Housing","East","Capitol Hill","Service provider","Nonprofit",,6,"1406 10th Ave Ste 101",98122,"DON"
"Capitol Hill Lions Club","http://www.lionsclubs.org/EN/find-a-club.php?f=3&cs=WASHINGTON&club_no=7653","Empower volunteers to serve their communities, meet humanitarian needs, encourage peace and promote international understanding","medoburg@hotmail.com",,"Medora Moburg","Social justice","Social action","East","Capitol Hill","Volunteerism","Nonprofit",,"National",,98102,"DPR"
"Capitol Hill Neighborhood Plan Stewardship Council","http://www.cityofseattle.net/Neighborhoods/npi/stewards.htm","Provide neighborhood upkeep and improvement","chsc@mocek.org","206-852-3403","Phil Mocek","Community council","Planning","East","Capitol Hill","Service provider","Community group",,0,"1710 E Denny Way #10",98122,"DON"
"Capitol Hill Seattle","http://www.capitolhillseattle.com/","Provide information about what's going on in Capitol Hill and allow community members to connect","chs@capitolhillseattle.com","206-399-5959","Justin Carder","Media","Neighborhood","East","Capitol Hill","Information","Media",,0,,98102,"DPR"
"Capitol Park Residents Group","http://www.seattlehousing.org/housing/public/locations/capitol-park/","Provide a forum for Capitol Park residents to address community issues","lindelspin@yahoo.com","206-675-3067","Lynn Sereda","Community council","Neighborhood","East","Capitol Hill","Advocacy","Community group",,,"525 14th Ave E",98122,"DON"
"Carkeek Park Advisory Council","http://www.ci.seattle.wa.us/parks/parkspaces/carkeekpark/advisory.htm","Advise the city and support Carkeek Park","beth.miller@seattle.gov","206-684-0877","Beth Miller","Environment","Parks","Northwest",,"Advocacy","Community group",,0,"950 NW Carkeek Park Rd",98133,"DPR"
"Carkeek Watershed Community Action Project",,"Help with preservation, upkeep, and support of Carkeek Park and surrounding watershed",,"206-363-4116","Nancy Malmgren","Environment","Neighborhood","Northwest",,"Service provider","Nonprofit",,0,"386 NW 112th",98177,"DON"
"Casa Latina","http://casa-latina.org/","Connects Latino immigrants new to the area with education and employment opportunities","info@casa-latina.org","206-956-0779","Hillary Stern","RSJ","Education; Employment","Central",,"Service provider","Nonprofit","Latino",12,"317 17th Ave S ",98144,"DON"
"Cascade Area Business Neighbors","http://www.pemco.com/about_us/details/cabn.aspx","Discuss and address issues affecting local business community","cabn@pemco.com","206-628-5261",,"Business","Neighborhood","Lake Union","SLU","Advocacy","Community group",,0,,98109,"DPR"
"Cascade Bicycle Club","http://www.cascade.org/Home/","Create more livable communities by promoting health and recreation through bicycle activities, advocacy, and education ","chuck.ayers@cascadebicycleclub.org; info@cascadebicycleclub.org","206-522-2453","Chuck Ayers","Environment","Health","Citywide",,"Service provider","Nonprofit",,22,"7400 Sand Point Way NE Building 138",98115,"DPR"
"Cascade Land Conservancy","http://www.cascadeland.org/","Provides services to community groups to help preserve land and make cities sustainable","steved@cascadeland.org; info@cascadeland.org","206-292-5907 ","Steve Dunphy","Environment","Resources","Citywide",,"Service provider","Nonprofit",,47,"615 Second Ave Suite 600 ",98104,"DPR"
"Cascade Neighborhood Council","http://www.scn.org/neighbors/cascade/","Support neighborhood preservation and improvement through community engagement","cascade@scn.org","206-521-9498",,"Community council","Neighborhood","Lake Union","SLU","Advocacy","Community group",,0,"1215 Thomas St",98109,"DPR"
"Cascade People's Center",,"Empower people to grow strong, sustainable families and communities with an active community center","cascadepeoplescenter@lcsnw.org","206-587-0320",,"Environment","Neighborhood","Lake Union","SLU","Service provider","Community group",,13,"309 Pontius Ave N",98109,"DPR"
"Casey Family Programs: Foster Care Support","http://www.casey.org/index.htm","Work to provide, improve, and eventually eliminate the need for foster care","Website","206-322-6711",,"Youth & family","Homelessness","Citywide",,"Service provider","Nonprofit",,"Regional","1123 23rd Ave",98122,"DON"
"Catholic Community Services Youth Tutoring Program","http://www.ccsww.org/site/PageServer?pagename=childrenyouth_ytp","Provides after-school tutoring to low-income and at-risk students","rebeccak@ccsww.org","206-328-5659","Rebecca Kuenzel","Youth & family","Education; Social justice","Citywide","High Point, Jackson Park, NewHolly, Rainier Vista, Yesler Terrace","Education","Nonprofit",,4,"100 23rd Ave S ",98144,"DPR"
"Center for Career Alternatives","http://ccawa.org/","Provide education, employment, training and career development services for disadvantaged youth and adults","lhissong@CCAWA.org","206-322-9080","Linda Hissong","Social justice","Employment","Citywide",,"Education","Nonprofit","People of color",32,"901 Rainier Ave S",98144,"DPR"
"Center for Communication and Civic Engagement","http://ccce.com.washington.edu/","Research communication processes and media technologies that facilitate positive citizen involvement in politics and social life","ccce@u.washington.edu","206-685-1504",,"Social justice","Social action","Citywide",,"Advocacy","School",,39,"Department of Communication Room 125 Box 353740 University of Washington",98195,"DPR"
"Center for Multicultural Health","http://cschc.org/","Promote the health and well-being of diverse communities through health advocacy, promotion, and services","cmch@cschc.org","206-461-6910","Sarah  Etchison","RSJ","Health","East","Yesler Terrace","Service provider","Nonprofit","People of color",,"105-14th Ave Suite 2C",98122,"DON"
"Center for Wooden Boats","http://www.cwb.org/","Share maritime history through direct experience and preserve and enjoy small craft heritage ","betsy@cwb.org; cwb@cwb.org ","206-382-2628","Betsy Davis","Social justice","Marine; History","Lake Union","SLU","Education","Nonprofit",,23,"1010 Valley St",98109,"DPR"
"Center Park Residents Council",,"Protect the interests of Center Park residents",,"206-329-9294","Donna Garcia","Community council","Neighborhood","Southeast","Rainier Valley","Advocacy","Community group",,0,"2121 26th Ave S",98144,"DPR"
"Central Area Chamber of Commerce","http://www.scacc2108.org/","Help local business and foster community through events","scaccommerce@yahoo.com","206-325-2864",,"Business","Neighborhood","Central",,"Service provider","Community group",,0,"2108 E Madison St",98122,"DPR"
"Central Area Development Association","http://cada.org/home.html","Revitalize, build, and improve the Central Area neighborhood","eporter@cada.org","206-328-2240",,"Community council","Neighborhood","Central",,"Service provider","Nonprofit",,3,"320 17th Ave S",98144,"DPR"
"Central Area Motivation Program","http://www.campseattle.org/","Reduce the impact of poverty by providing services and advocacy","davidg@campseattle.org","206-812-4940","David Gestaut","Social justice","Emergency; Employment","Central",,"Service provider","Nonprofit",,5,"722 18th Ave",98122,"DPR"
"Central Area Senior Center","http://www.centralareaseniorcenter.org/","Addresses social, educational, and health needs of older adults and the community","cynthiaa@seniorservices.org; info@seniorservices.org","206-726-4926","Cynthia Andrews","Social justice","Seniors; Health","Central",,"Service provider","Community group",,5,"500 30th Ave S",98144,"DPR"
"Central Area Stewardship Committee","http://www.cityofseattle.net/Neighborhoods/npi/stewards.htm","Provide neighborhood upkeep and improvement",,"206-323-7257","Thurston Muskelly","Community council","Planning","Central",,"Service provider","Community group",,0,,98122,"DPR"
"Central Area Youth Association","http://www.seattle-caya.org/","Provides tutoring and other programs to youth and families","Joe@seattle-caya.org","206-322-6640","Joe Staton","Youth & family","Education","Central ",,"Service provider","Nonprofit",,4,"119 23rd Ave ",98122,"DPR"
"Central District Council","http://www.cityofseattle.net/neighborhoodcouncil/members.htm","Advise the city on budget issues and provide a forum for community discussion",,"206-325-3683","Thurston Muskelly","Community council","District","Central",,"Advocacy","Community group",,0,"415 29th Ave S",98144,"DON"
"Central District Forum for Arts & Ideas","http://www.cdforum.org/","Presents programs to support black arts and culture","info@cdforum.org","206-323-4032",,"Arts","RSJ","Central",,"Service provider","Nonprofit","People of color",8,"PO Box 22824",98122,"DPR"
"Central District News","http://www.centraldistrictnews.com/","Provide community news and information","centraldistrictnews@instantjournalist.com",,,"Media","Neighborhood","Central",,"Information","Media",,,,98144,"DOIT"
"Central Neighborhood Association","http://groups.google.com/group/centralna","Collaborate to build community","markpe@johnlscott.com",,"Mark Petrak","Community council","Neighborhood","Central",,"Advocacy","Community group",,0,,98122,"DPR"
"Central Youth & Family Services Branch - Therapeutic Health Services","http://www.therapeutichealth.org/index.html","Rehabilitate individuals and heal families affected by alcohol dependence, drug dependence and/or mental illness","info@ths-wa.org","206-322-7676    ","Norman Johnson","Social justice","Substance abuse","Central",,"Service provider","Nonprofit",,,"1901 Martin Luther King Jr. Way S",98144,"DON"
"Cham Refugee Community","http://www.weareoneamerica.org/resources/cham-refugee-community","Provide direct services and advocacy to the Cham Muslim community","basarim@crcofseattle.com","206-723-7677","Basari Mohamath","RSJ","Education; Health","Southeast",,"Service provider","Community group","Muslim",,"5945 39th Ave S",98118,"DON"
"Chaya","http://www.chayaseattle.org/","Supports South Asians, especially women, affected by abuse and works to fight causes of oppression and violence","chaya@chayaseattle.org","206-568-7576","Shah Ketu","RSJ","Abuse; Women","Citywide",,"Service provider","Nonprofit","Asian",,"4720 43rd Ave. South",98118,"DON"
"Chief Seattle Club","http://www.chiefseattleclub.org/","Provide direct services, cultural events, and support to the homeless Native American community",,"206-292-6214","Denise Stiffarm","RSJ","Homelessness","Downtown","Pioneer Square","Service provider","Nonprofit","Native American",,"410 2nd Ave. S. ",98104,"DON"
"Childhaven","http://www.childhaven.org/","Provides care for children and families suffering from domestic abuse","debrar@childhaven.org","206-464-3923","Debra Ronnholm","Youth & family","Abuse","Citywide","Downtown, Lake City, Rainier Valley","Service provider","Nonprofit",,10,"316 Broadway ",98122,"DPR"
"Children's Alliance","http://www.childrensalliance.org/","Help children by ensuring that laws and programs are effective and enforced","seattle@childrensalliance.org","206-324-0340",,"Youth & family","Social action","Citywide",,"Advocacy","Nonprofit",,14,"718 6th Ave S ",98104,"DPR"
"Children's Home Society","http://chs-wa.org/Our_Locations/Seattle_-_King_County.html","Facilitate moving of children into good homes and provide resources","pr@chs-wa.org","206-695-3200",,"Youth & family","Homelessness","Citywide",,"Service provider","Nonprofit",,,"3300 NE 65th St ",98115,"DPR"
"Chinatown/ID Preservation and Development Authority ","http://www.scidpda.org/","Preserve, promote and develop Chinatown/ID as a vibrant community and unique ethnic neighborhood","info@scidpda.org","206-624-8929","Maiko Winler-Chin","Community council","Neighborhood","Downtown","International District","Service provider","Nonprofit","People of color",6,"409 Maynard Ave",98104,"DON"
