"name","url","calendar_url","email","contact","type_group","Categories","description","notes","source","activity_level","audience_size","ownership","image","location","address","neighborhood","district","region","zipcode","city","state","area_code","latitude","longitude","location_geo","civic_taxonomy"
"Pigeon Point Neighborhood Council","http://www.pigeonpoint.org/",,,,"website","Neighborhood council",,,,,,"community",,,,"Pigeon Point","Delridge","SW",,"Seattle","WA",,,,,
"Westwood Neighborhood Council","http://www.scn.org/neighbors/westwood/",,,,"website","Neighborhood council",,,,,,"community",,,,"Westwood","Delridge","SW",,"Seattle","WA",,,,,
"White Center Community Development Association","http://www.wccda.org/home",,,,"website","Nonprofit",,,,,,"community",,,,"White Center","Delridge","SW",,"Seattle","WA",,,,,
"White Center Community Development Association blog","http://twitter.com/whitecentercda",,,,"website","Nonprofit",,,,,,"community",,,,"White Center","Delridge","SW",,"Seattle","WA",,,,,
"White Center Now","http://whitecenternow.com/",,,,"blog","News, Events, Food",,,,,,"community",,,,"White Center","Delridge","SW",,"Seattle","WA",,,,,
"Youngstown Cultural Arts Center","http://youngstownarts.org",,,,"website","Arts",,,,,,"community",,,,"Delridge","Delridge","SW",,"Seattle","WA",,,,,
"All About Belltown","http://www.belltown.org/",,,,"website","Lifestyle, community association, bus association",,,,,,"community",,,,"Belltown","Downtown","W",,"Seattle","WA",,,,,
"belltown","http://www.belltownpeople.com/",,,,"blog","News, Events",,,,,,"commercial",,,,"Belltown","Downtown","W",,"Seattle","WA",,,,,
"Belltown Community Council","http://www.belltowncommunitycouncil.org/",,,,"website","Community council",,,,,,"community",,,,"Belltown","Downtown","W",,"Seattle","WA",,,,,
"Chinatown/International District","http://www.cidbia.org/",,,,"website","Business improvement association",,,,,,"community",,,,"International District","Downtown","W",,"Seattle","WA",,,,,
"Chinese Information and Service Center","http://www.cisc-seattle.org/",,,,"website","Referral, advocacy, support services",,,,,,"nonprofit",,,,"International District","Downtown","W",,"Seattle","WA",,,,,
"Downtown Dispatch","http://downtowndispatch.com/",,,,"blog","News and Events",,,,,,"commercial",,,,"Downtown","Downtown","W",,"Seattle","WA",,,,,
"Downtown Seattle Association","http://www.downtownseattle.com/",,,,"website","Business association",,,,,,,,,,"Downtown","Downtown","W",,"Seattle","WA",,,,,
"KOMO Communities - Downtown","http://downtown.komoNews.com",,,,"blog","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"commercial",,,,"Downtown","Downtown","W",,"Seattle","WA",,,,,
"Pioneer Square Community Association","http://www.pioneersquare.org/",,,,"website","Community organization",,,,,,"community",,,,"Pioneer Square","Downtown","W",,"Seattle","WA",,,,,
"SCIPDA","http://www.scidpda.org/",,,,"website","Public development authority",,,,,,"community",,,,"International District","Downtown","W",,"Seattle","WA",,,,,
"Seattle Chinatown Guide","http://www.chinatownconnection.com/seattle-chinatown-international-district.htm",,,,"website","Food, Shopping",,,,,,"commercial",,,,"International District","Downtown","W",,"Seattle","WA",,,,,
"SoDo Business Association","http://www.sodobusinessassociation.org/",,,,"website","Business association",,,,,,"community",,,,"SoDo","Downtown","S",,"Seattle","WA",,,,,
"Wing Luke Asian Museum","http://www.wingluke.org/",,,,"website","Museum",,,,,,"community",,,,"International District","Downtown","W",,"Seattle","WA",,,,,
"15th Ave Community","http://groups.yahoo.com/group/15thAve_Community/",,,,"email list","Residents, 15Th avenue",,,,,,"community",,,,"Capitol Hill","East","E",,"Seattle","WA",,,,,
"Capitol Hill Community Council","http://chcc.wikidot.com/",,,,"wiki","Community council, News, Events",,,,,,"community",,,,"Capitol Hill","East","E",,"Seattle","WA",,,,,
"Capitol Hill Housing","http://capitolhillhousing.org/",,,,"website","Affordable housing",,,,,,"community",,,,"Capitol Hill","East","E",,"Seattle","WA",,,,,
"Capitol Hill Triangle","http://chtriangle.blogspot.com/",,,,"blog","Local miscellany ",,,,,,"commercial",,,,"Capitol Hill","East","E",,"Seattle","WA",,,,,
"CHS Capitol Hill Seattle Blog","http://www.capitolhillseattle.com/",,,,"blog","News, Events, Food, Drink, Criminal activity, Crime, Public Safety",,,,,,"commercial",,,,"Capitol Hill","East","E",,"Seattle","WA",,,,,
"First Hill Improvement Association","http://www.firsthill.org/",,,,"website","Neighborhood association",,,,,,"community",,,,"First Hill","East","E",,"Seattle","WA",,,,,
"KOMO Communities - Captol Hill","http://capitolhill.komoNews.com",,,,"blog","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"commercial",,,,"Capitol Hill","East","E",,"Seattle","WA",,,,,
"KOMO Communities - Central District","http://centraldistrict.komoNews.com",,,,"blog","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"commercial",,,,"Central District","East","E ",,"Seattle","WA",,,,,
"KOMO Communities - Madison Park","http://madisonpark.komoNews.com",,,,"blog","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"commercial",,,,"Madison Park","East","E",,"Seattle","WA",,,,,
"Madison Park Blogger","http://madisonparkblogger.blogspot.com/",,,,"blog","News, housing prices, Events",,,,,,"commercial",,,,"Madison Park","East","E",,"Seattle","WA",,,,,
"Madison Park Business Association","http://www.madisonparkseattle.com/",,,,"website","Business association",,,,,,"community",,,,"Madison Park","East","E",,"Seattle","WA",,,,,
"Miller Park Neighborhood Association","http://millerparkseattle.blogspot.com/",,,,"blog","Neighborhood association, News, Events",,,,,,"community",,,,"Miller Park","East","E",,"Seattle","WA",,,,,
"North Capitol Hill Neighborhood Association","http://www.nchna.com/",,,,"website","Meeting notes, relevant News",,,,,,"community",,,,"Capitol Hill","East","E",,"Seattle","WA",,,,,
"Seattle Central Community College","http://seattlecentral.edu/",,,,"website","College",,,,,,,,,,"Capitol Hill","East","E",,"Seattle","WA",,,,,
"Your Capitol Hill","http://www.yourcapitolhill.com/",,,,"website","Dining, Events, nightlife, Shopping",,,,,,"community",,,,"Capitol Hill","East","E",,"Seattle","WA",,,,,
"All About South Park","http://www.allaboutsouthpark.com/",,,,"website","Neighborhood info",,,,,,"community",,,,"South Park","Greater Duwamish","S",,"Seattle","WA",,,,,
"Beacon Hill Alliance of Neighbors","http://www.cityofseattle.net/ban/",,,,"website","Community, public safety",,,,,,"community",,,,"Beacon Hill","Greater Duwamish","SE",,"Seattle","WA",,,,,
"Beacon Hill Blog","http://beaconhill.seattle.wa.us/",,,,"blog","News, Events, Food, nightlife, Criminal activity, Crime, Public Safety",,,,,,"commercial",,,,"Beacon Hill","Greater Duwamish","SE",,"Seattle","WA",,,,,
"Beacon Hill Burglaries","http://maps.google.com/maps/ms?ie=UTF8&hl=en&msa=0&msid=107398592337461190820.000449fcf97ff8bfbe281&z=14or",,,,"email list","Criminal activity, Crime, Public Safety",,,,,,"community",,,,"Beacon Hill","Greater Duwamish","SE",,"Seattle","WA",,,,,
"Beacon Hill Community Site","http://beaconhillcommunity.wetpaint.com/",,,,"wiki","News, announcements, community concerns",,,,,,"commercial",,,,"Beacon Hill","Greater Duwamish","SE",,"Seattle","WA",,,,,
"Blogging Georgetown","http://www.blogginggeorgetown.com/",,,,"blog","News, Events, 911 blotter",,,,,,"commercial",,,,"Georgetown","Greater Duwamish","SW",,"Seattle","WA",,,,,
"Blogging Georgetown","http://www.facebook.com/blogginggeorgetown",,,,"facebook page","News, Events, 911 blotter",,,,,,"community",,,,"Georgetown","Greater Duwamish","SW",,"Seattle","WA",,,,,
"Georgetown Art Center","http://georgetownartcenter.blogspot.com/",,,,"blog","Community arts",,,,,,"community",,,,"Georgetown","Greater Duwamish","SW",,"Seattle","WA",,,,,
"Georgetown Neighborhood","http://www.georgetownneighborhood.com/",,,,"website","Community council",,,,,,"community",,,,"Georgetown","Greater Duwamish","SW",,"Seattle","WA",,,,,
"Georgetown Seattle","http://groups.yahoo.com/group/Georgetown-Seattle/",,,,"email list","Community members",,,,,,"community",,,,"Georgetown","Greater Duwamish","SW",,"Seattle","WA",,,,,
"Jefferson Park Alliance","http://www.cityofseattle.net/commnty/Beacon/groups/jpa/",,,,"website","Community",,,,,,"community",,,,"Beacon Hill","Greater Duwamish","SE",,"Seattle","WA",,,,,
"KOMO Communities - Beacon Hill","http://beaconhill.komoNews.com",,,,"blog","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"commercial",,,,"Beacon Hill","Greater Duwamish","SE",,"Seattle","WA",,,,,
"KOMO Communities - Georgetown","http://georgetown.komoNews.com",,,,"blog","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"commercial",,,,"Georgetown","Greater Duwamish","SW",,"Seattle","WA",,,,,
"Market On Wheels","http://marketonwheels.wordpress.com/",,,,"blog","Farmers' market",,,,,,"community",,,,"South Park","Greater Duwamish","S",,"Seattle","WA",,,,,
"nbeaconhillneighbors","http://groups.yahoo.com/group/nbeaconhillneighbors/",,,,"email list","Community members",,,,,,"community",,,,"Beacon Hill","Greater Duwamish","SE",,"Seattle","WA",,,,,
"North Beacon Hill","http://north-beacon-hill.blogspot.com/",,,,"blog","Community council",,,,,,"community",,,,"Beacon Hill","Greater Duwamish","SE",,"Seattle","WA",,,,,
"North Beacon Hill Council","http://www.cityofseattle.net/commnty/Beacon/groups/nbhc/",,,,"website","Community group",,,,,,"community",,,,"Beacon Hill","Greater Duwamish","SE",,"Seattle","WA",,,,,
"Seattle Industry","http://www.seattleindustry.org/",,,,"website","Seattle industry",,,,,,"community",,,,"Industrial District","Greater Duwamish","S",,"Seattle","WA",,,,,
"SoDo Business Association","http://www.sodobusinessassociation.org/",,,,"website","Business association",,,,,,"community",,,,"Industrial District","Greater Duwamish","S",,"Seattle","WA",,,,,
"South Park Seattle","http://www.myspace.com/southparkseattle",,,,"myspace","Neighborhood info",,,,,,"community",,,,"South Park","Greater Duwamish","S",,"Seattle","WA",,,,,
"yoursouthpark","http://groups.yahoo.com/group/yoursouthpark/",,,,"email list","Community members",,,,,,"community",,,,"South Park","Greater Duwamish","S",,"Seattle","WA",,,,,
"Cascade People's Center","http://www.cascadepeoplescenter.org/",,,,"website","Nonprofit",,,,,,"community",,,,"South Lake Union","Lake Union","W",,"Seattle","WA",,,,,
"Discover SLU","http://www.discoverslu.com",,,,"website","News, Events, Shopping, dining",,,,,,"commercial",,,,"South Lake Union","Lake Union","W",,"Seattle","WA",,,,,
"Discover SLU","http://www.facebook.com/discoverslu",,,,"facebook page","News, Events, Shopping, dining",,,,,,"commercial",,,,"South Lake Union","Lake Union","W",,"Seattle","WA",,,,,
"Discover SLU","http://www.twitter.com/southlakeunion",,,,"twitter","News, Events, Shopping, dining",,,,,,"commercial",,,,"South Lake Union","Lake Union","W",,"Seattle","WA",,,,,
"Eastlake Ave. ","http://eastlakeave.neighborlogs.com/",,,,"blog","News, traffic, Events, Criminal activity, Crime, Public Safety",,,,,,"commercial",,,,"Eastlake","Lake Union","W",,"Seattle","WA",,,,,
"Eastlake Ave. ","http://twitter.com/eastlakeave",,,,"blog","Updates on blog posts",,,,,,"commercial",,,,"Eastlake","Lake Union","W",,"Seattle","WA",,,,,
"Eastlake Community Council","http://www.eastlakeseattle.org/",,,,"website","Community council",,,,,,"community",,,,"Eastlake","Lake Union","W",,"Seattle","WA",,,,,
"Eastlake Community Council","http://www.facebook.com/group.php?gid=7145111961",,,,"facebook page","Community council",,,,,,"community",,,,"Eastlake","Lake Union","W",,"Seattle","WA",,,,,
"Fremont Arts Council","http://groups.yahoo.com/group/fremontartscouncil/",,,,"email list","Fremont arts council members, arts",,,,,,"community",,,,"Fremont","Lake Union","NW",,"Seattle","WA",,,,,
"Fremont Arts Council","http://www.fremontartscouncil.org/",,,,"website","Community group",,,,,,"community",,,,"Fremont","Lake Union","NW",,"Seattle","WA",,,,,
"Fremont Chamber of Commerce","http://www.fremontseattle.com/",,,,"website","Chamber of Commerce",,,,,,"community",,,,"Fremont","Lake Union","NW",,"Seattle","WA",,,,,
"Fremont Universe","http://twitter.com/fremontuniverse",,,,"twitter","News, Events, Food, reviews",,,,,,"commercial",,,,"Fremont","Lake Union","NW",,"Seattle","WA",,,,,
"Fremont Universe","http://www.facebook.com/pages/Fremont-Universe-Seattle/88279594341?ref=s",,,,"facebook page","News, Events, Food, reviews",,,,,,"commercial",,,,"Fremont","Lake Union","NW",,"Seattle","WA",,,,,
"Fremont Universe","http://www.fremontuniverse.com/",,,,"blog","News, Events, Food, reviews",,,,,,"commercial",,,,"Fremont","Lake Union","NW",,"Seattle","WA",,,,,
"Friends of Fremont Peak Park","http://www.fremontpeakpark.org/",,,,"website","Community organization",,,,,,"community",,,,"Fremont","Lake Union","NW",,"Seattle","WA",,,,,
"KOMO Communities - Fremont","http://fremont.komoNews.com",,,,"blog","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"commercial",,,,"Fremont","Lake Union","NW",,"Seattle","WA",,,,,
"KOMO Communities - South Lake Union","http://southlakeunion.komoNews.com",,,,"blog","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"commercial",,,,"South Lake Union","Lake Union","W",,"Seattle","WA",,,,,
"S Lake Union Friends and Neighbors Community Council","http://www.slufan.org/",,,,"website","Community council",,,,,,"community",,,,"South Lake Union","Lake Union","W",,"Seattle","WA",,,,,
"South Lake Union Chamber of Commerce","http://www.sluchamber.org/",,,,"website","Chamber of Commerce",,,,,,"community",,,,"South Lake Union","Lake Union","W",,"Seattle","WA",,,,,
"The South Lake Union Community Blog","http://www.thesouthlake.com/",,,,"blog","News, Events, personalized profile pages",,,,,,"commercial",,,,"South Lake Union","Lake Union","W",,"Seattle","WA",,,,,
"Friends of Discovery Park","http://www.friendsdiscoverypark.org/",,,,"website","Park issues",,,,,,"community",,,,"Magnolia","Magnolia/Queen Anne","W",,"Seattle","WA",,,,,
"Interbay District Blog","http://www.interbaydistrict.com/",,,,"blog","News, sports",,,,,,"community",,,,"Interbay","Magnolia/Queen Anne","NW",,"Seattle","WA",,,,,
"Interbay Neighborhood Association","http://www.our-interbay.org/",,,,"website","Neighborhood association",,,,,,"community",,,,"Interbay","Magnolia/Queen Anne","NW",,"Seattle","WA",,,,,
"KOMO Communities - Magnolia","http://magnolia.komoNews.com",,,,"blog","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"commercial",,,,"Magnolia","Magnolia/Queen Anne","NW",,"Seattle","WA",,,,,
"KOMO Communities - Queen Anne","http://queenanne.komoNews.com",,,,"blog","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"commercial",,,,"Queen Anne","Magnolia/Queen Anne","W",,"Seattle","WA",,,,,
"Magnolia Action Group","http://www.orgsites.com/wa/mag/",,,,"website","Planning issues",,,,,,"community",,,,"Magnolia","Magnolia/Queen Anne","W",,"Seattle","WA",,,,,
"Magnolia Chamber of Commerce","http://www.magnoliachamber.org/",,,,"website","Chamber of Commerce",,,,,,"community",,,,"Magnolia","Magnolia/Queen Anne","W",,"Seattle","WA",,,,,
"Magnolia Historical Society","http://www.magnoliahistoricalsociety.org/",,,,"website","Historical society",,,,,,"community",,,,"Magnolia","Magnolia/Queen Anne","W",,"Seattle","WA",,,,,
"Magnolia is Really Part of Seattle","http://sleeplessinmagnolia.ning.com/",,,,"wiki","Planning issues",,,,,,"community",,,,"Magnolia","Magnolia/Queen Anne","W",,"Seattle","WA",,,,,
"Magnolia Neighborhood Planning Council","http://magnolianpc.com/",,,,"website","Neighborhood association",,,,,,"community",,,,"Magnolia","Magnolia/Queen Anne","W",,"Seattle","WA",,,,,
"Magnolia Voice","http://twitter.com/magnoliavoice",,,,"twitter","News, Events, Criminal activity, Crime, Public Safety, Food",,,,,,"commercial",,,,"Magnolia","Magnolia/Queen Anne","NW",,"Seattle","WA",,,,,
"Magnolia Voice","http://www.facebook.com/pages/Magnolia-Voice-Seattle/116057104388",,,,"facebook page","News, Events, Criminal activity, Crime, Public Safety, Food",,,,,,"commercial",,,,"Magnolia","Magnolia/Queen Anne","NW",,"Seattle","WA",,,,,
"Magnolia Voice","http://www.magnoliavoice.com/",,,,"blog","News, Events, Criminal activity, Crime, Public Safety, Food",,,,,,"commercial",,,,"Magnolia","Magnolia/Queen Anne","W",,"Seattle","WA",,,,,
"Queen Anne Chamber of Commerce","http://qachamber.org/",,,,"website","Chamber of Commerce",,,,,,"community",,,,"Queen Anne","Magnolia/Queen Anne","W",,"Seattle","WA",,,,,
"Queen Anne Community Council","http://www.qacc.net/",,,,"website","Community council",,,,,,"community",,,,"Queen Anne","Magnolia/Queen Anne","W",,"Seattle","WA",,,,,
"Queen Anne Examiner","http://www.examiner.com/x-8856-Seattle-Queen-Anne-Hill-Examiner",,,,"blog","News, local issues",,,,,,"commercial",,,,"Queen Anne","Magnolia/Queen Anne","W",,"Seattle","WA",,,,,
"Queen Anne Helpline","http://queenannehelpline.org/index.php",,,,"website","Nonprofit",,,,,,"community",,,,"Queen Anne","Magnolia/Queen Anne","W",,"Seattle","WA",,,,,
"Queen Anne Historical Society","http://www.qahistory.org/",,,,"website","Historical society",,,,,,"community",,,,"Queen Anne","Magnolia/Queen Anne","W",,"Seattle","WA",,,,,
"Queen Anne View","http://www.queenanneview.com/",,,,"blog","News, Events, reviews",,,,,,"commercial",,,,"Queen Anne","Magnolia/Queen Anne","W",,"Seattle","WA",,,,,
"Rosiehood","http://twitter.com/Roosiehood",,,,"twitter","News, Events, Human interest, Criminal activity, Crime, Public Safety",,,,,,"community",,,,"Roosevelt","NE","NE",,"Seattle","WA",,,,,
"Rosiehood","http://www.facebook.com/pages/Roosevelt-Neighborhood-Blog/133948283288085",,,,"facebook page","News, Events, Human interest, Criminal activity, Crime, Public Safety",,,,,,"community",,,,"Roosevelt","NE","NE",,"Seattle","WA",,,,,
"Rosiehood","http://www.roosiehood.com/",,,,"blog","News, Events, Human interest, Criminal activity, Crime, Public Safety",,,,,,"community",,,,"Roosevelt","NE","NE",,"Seattle","WA",,,,,
"Haller Lake Community Club","http://www.hallerlake.info/welcome.html",,,,"website","Community organization",,,,,,"community",,,,"Haller Lake","North","N",,"Seattle","WA",,,,,
"KOMO Communities - Lake City","http://lakecity.komoNews.com",,,,"blog","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"commercial",,,,"Lake City","North","NE",,"Seattle","WA",,,,,
"KOMO Communities - North Seattle","http://northseattle.komoNews.com",,,,"blog","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"commercial",,,,"North Seattle","North","N",,"Seattle","WA",,,,,
"Lake City Live","http://www.lakecitylive.net/",,,,"blog","News, Criminal activity, Crime, Public Safety, Food, Drink, reviews",,,,,,"commercial",,,,"Lake City","North","NE",,"Seattle","WA",,,,,
"Maple Leaf Life","http://twitter.com/mapleleaflife",,,,"twitter","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"commercial",,,,"Maple Leaf","North","N ",,"Seattle","WA",,,,,
"Maple Leaf Life","http://www.facebook.com/pages/Seattle-WA/Maple-Leaf-Life/298056021657",,,,"facebook page","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"commercial",,,,"Maple Leaf","North","N",,"Seattle","WA",,,,,
"Maple Leaf Life","http://www.mapleleaflife.com/",,,,"blog","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"commercial",,,,"Maple Leaf","North","N",,"Seattle","WA",,,,,
"Northgate Chamber of Commerce","http://www.northgatechamber.com/",,,,"website","Chamber of Commerce",,,,,,"community",,,,"Northgate","North","NE",,"Seattle","WA",,,,,
"Pinehurst Seattle","http://pinehurstseattle.org",,,,"blog","News, Events, issues",,,,,,"community",,,,"Pinehurst","North","NE",,"Seattle","WA",,,,,
"Pinehurst Seattle","http://twitter.com/pinehurstsea",,,,"twitter","News, Events, issues",,,,,,"community",,,,"Pinehurst","North","NE",,"Seattle","WA",,,,,
"Pinehurst Seattle","http://www.facebook.com/#!/group.php?gid=53590206898&v=wall&ref=search",,,,"facebook page","News, Events, issues",,,,,,"community",,,,"Pinehurst","North","NE",,"Seattle","WA",,,,,
"The Maple Leafer","http://twitter.com/themapleleafer",,,,"twitter","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"commercial",,,,"Maple Leaf","North","N",,"Seattle","WA",,,,,
"The Maple Leafer","http://www.facebook.com/pages/The-Maple-Leafer/110782042284727",,,,"facebook page","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"commercial",,,,"Maple Leaf","North","N",,"Seattle","WA",,,,,
"The Maple Leafer","http://www.themapleleafer.com/",,,,"blog","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"commercial",,,,"Maple Leaf","North","N",,"Seattle","WA",,,,,
"Aurora Seattle","http://www.auroraseattle.com/",,,,"blog","News, traffic, planning",,,,,,"community",,,,"Regional Sites","Northeast","NE",,"Seattle","WA",,,,,
"Hawthorne Hills Community Website","http://www.seattle.gov/hawthornehills/index.htm",,,,"website","Community council",,,,,,"community",,,,"Hawthorne Hills","Northeast","NE",,"Seattle","WA",,,,,
"KOMO Communities - U-District","http://udistrict.komoNews.com",,,,"blog","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"commercial",,,,"University District","Northeast","NE",,"Seattle","WA",,,,,
