"name","url","calendar_url","email","contact","type_group","Categories","description","notes","source","activity_level","audience_size","ownership","image","location","address","neighborhood","district","region","zipcode","city","state","area_code","latitude","longitude","location_geo","civic_taxonomy"
"Nature Consortium","http://www.naturec.org",,,,"Website","Environmental conservation",,,,,,"Community",,,,"Delridge","Delridge","SW",,"Seattle","WA",,,,,
"North Delridge Neighborhood Council","http://ndnc.org/",,,,"Website","Events calendar",,,,,,"Community",,,,"Delridge","Delridge","SW",,"Seattle","WA",,,,,
"Pigeon Point Neighborhood Council","http://www.pigeonpoint.org/",,,,"Website","Neighborhood council",,,,,,"Community",,,,"Pigeon Point","Delridge","SW",,"Seattle","WA",,,,,
"Westwood Neighborhood Council","http://www.scn.org/neighbors/westwood/",,,,"Website","Neighborhood council",,,,,,"Community",,,,"Westwood","Delridge","SW",,"Seattle","WA",,,,,
"White Center Community Development Association","http://www.wccda.org/home",,,,"Website","Non-profit",,,,,,"Community",,,,"White Center","Delridge","SW",,"Seattle","WA",,,,,
"White Center Community Development Association Blog","http://Twitter.com/whitecentercda",,,,"Website","Non-profit",,,,,,"Community",,,,"White Center","Delridge","SW",,"Seattle","WA",,,,,
"White Center Now","http://whitecenternow.com/",,,,"Blog","News, Events, Food",,,,,,"Community",,,,"White Center","Delridge","SW",,"Seattle","WA",,,,,
"Youngstown Cultural Arts Center","http://youngstownarts.org",,,,"Website","Arts",,,,,,"Community",,,,"Delridge","Delridge","SW",,"Seattle","WA",,,,,
"All About Belltown","http://www.belltown.org/",,,,"Website","Lifestyle, Community association, bus association",,,,,,"Community",,,,"Belltown","Downtown","W",,"Seattle","WA",,,,,
"belltown","http://www.belltownpeople.com/",,,,"Blog","News, Events",,,,,,"Commercial",,,,"Belltown","Downtown","W",,"Seattle","WA",,,,,
"Belltown Community Council","http://www.belltownCommunitycouncil.org/",,,,"Website","Community council",,,,,,"Community",,,,"Belltown","Downtown","W",,"Seattle","WA",,,,,
"Chinatown/International District","http://www.cidbia.org/",,,,"Website","Business improvement association",,,,,,"Community",,,,"International District","Downtown","W",,"Seattle","WA",,,,,
"Chinese Information and Service Center","http://www.cisc-seattle.org/",,,,"Website","Referral, advocacy, support services",,,,,,"Non-profit",,,,"International District","Downtown","W",,"Seattle","WA",,,,,
"Downtown Dispatch","http://downtowndispatch.com/",,,,"Blog","News and Events",,,,,,"Commercial",,,,"Downtown","Downtown","W",,"Seattle","WA",,,,,
"Downtown Seattle Association","http://www.downtownseattle.com/",,,,"Website","Business association",,,,,,,,,,"Downtown","Downtown","W",,"Seattle","WA",,,,,
"KOMO Communities - Downtown","http://downtown.komoNews.com",,,,"Blog","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"Commercial",,,,"Downtown","Downtown","W",,"Seattle","WA",,,,,
"Pioneer Square Community Association","http://www.pioneersquare.org/",,,,"Website","Community organization",,,,,,"Community",,,,"Pioneer Square","Downtown","W",,"Seattle","WA",,,,,
"SCIPDA","http://www.scidpda.org/",,,,"Website","Public development authority",,,,,,"Community",,,,"International District","Downtown","W",,"Seattle","WA",,,,,
"Seattle Chinatown Guide","http://www.chinatownconnection.com/seattle-chinatown-international-district.htm",,,,"Website","Food, Shopping",,,,,,"Commercial",,,,"International District","Downtown","W",,"Seattle","WA",,,,,
"SoDo Business Association","http://www.sodobusinessassociation.org/",,,,"Website","Business association",,,,,,"Community",,,,"SoDo","Downtown","S",,"Seattle","WA",,,,,
"Wing Luke Asian Museum","http://www.wingluke.org/",,,,"Website","Museum",,,,,,"Community",,,,"International District","Downtown","W",,"Seattle","WA",,,,,
"15th Ave Community","http://groups.yahoo.com/group/15thAve_Community/",,,,"E-mail list","Residents, 15th avenue",,,,,,"Community",,,,"Capitol Hill","East","E",,"Seattle","WA",,,,,
"Capitol Hill Community Council","http://chcc.Wikidot.com/",,,,"Wiki","Community council, News, Events",,,,,,"Community",,,,"Capitol Hill","East","E",,"Seattle","WA",,,,,
"Capitol Hill Housing","http://capitolhillhousing.org/",,,,"Website","Affordable housing",,,,,,"Community",,,,"Capitol Hill","East","E",,"Seattle","WA",,,,,
"Capitol Hill Triangle","http://chtriangle.Blogspot.com/",,,,"Blog","Local miscellany ",,,,,,"Commercial",,,,"Capitol Hill","East","E",,"Seattle","WA",,,,,
"CHS Capitol Hill Seattle Blog","http://www.capitolhillseattle.com/",,,,"Blog","News, Events, Food, Drink, Criminal activity, Crime, Public Safety",,,,,,"Commercial",,,,"Capitol Hill","East","E",,"Seattle","WA",,,,,
"First Hill Improvement Association","http://www.firsthill.org/",,,,"Website","Neighborhood association",,,,,,"Community",,,,"First Hill","East","E",,"Seattle","WA",,,,,
"KOMO Communities - Captol Hill","http://capitolhill.komoNews.com",,,,"Blog","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"Commercial",,,,"Capitol Hill","East","E",,"Seattle","WA",,,,,
"KOMO Communities - Central District","http://centraldistrict.komoNews.com",,,,"Blog","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"Commercial",,,,"Central District","East","E ",,"Seattle","WA",,,,,
"KOMO Communities - Madison Park","http://madisonpark.komoNews.com",,,,"Blog","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"Commercial",,,,"Madison Park","East","E",,"Seattle","WA",,,,,
"Madison Park Blogger","http://madisonparkBlogger.Blogspot.com/",,,,"Blog","News, housing prices, Events",,,,,,"Commercial",,,,"Madison Park","East","E",,"Seattle","WA",,,,,
"Madison Park Business Association","http://www.madisonparkseattle.com/",,,,"Website","Business association",,,,,,"Community",,,,"Madison Park","East","E",,"Seattle","WA",,,,,
"Miller Park Neighborhood Association","http://millerparkseattle.Blogspot.com/",,,,"Blog","Neighborhood association, News, Events",,,,,,"Community",,,,"Miller Park","East","E",,"Seattle","WA",,,,,
"North Capitol Hill Neighborhood Association","http://www.nchna.com/",,,,"Website","Meeting notes, relevant News",,,,,,"Community",,,,"Capitol Hill","East","E",,"Seattle","WA",,,,,
"Seattle Central Community College","http://seattlecentral.edu/",,,,"Website","College",,,,,,,,,,"Capitol Hill","East","E",,"Seattle","WA",,,,,
"Your Capitol Hill","http://www.yourcapitolhill.com/",,,,"Website","DiNing, Events, nightlife, Shopping",,,,,,"Community",,,,"Capitol Hill","East","E",,"Seattle","WA",,,,,
"All About South Park","http://www.allaboutsouthpark.com/",,,,"Website","Neighborhood info",,,,,,"Community",,,,"South Park","Greater Duwamish","S",,"Seattle","WA",,,,,
"Beacon Hill Alliance of Neighbors","http://www.cityofseattle.net/ban/",,,,"Website","Community, public safety",,,,,,"Community",,,,"Beacon Hill","Greater Duwamish","SE",,"Seattle","WA",,,,,
"Beacon Hill Blog","http://beaconhill.seattle.wa.us/",,,,"Blog","News, Events, Food, nightlife, Criminal activity, Crime, Public Safety",,,,,,"Commercial",,,,"Beacon Hill","Greater Duwamish","SE",,"Seattle","WA",,,,,
"Beacon Hill Burglaries","http://maps.google.com/maps/ms?ie=UTF8&hl=en&msa=0&msid=107398592337461190820.000449fcf97ff8bfbe281&z=14or",,,,"E-mail list","Criminal activity, Crime, Public Safety",,,,,,"Community",,,,"Beacon Hill","Greater Duwamish","SE",,"Seattle","WA",,,,,
"Beacon Hill Community Site","http://beaconhillCommunity.wetpaint.com/",,,,"Wiki","News, announcements, Community concerns",,,,,,"Commercial",,,,"Beacon Hill","Greater Duwamish","SE",,"Seattle","WA",,,,,
"Blogging Georgetown","http://www.Blogginggeorgetown.com/",,,,"Blog","News, Events, 911 blotter",,,,,,"Commercial",,,,"Georgetown","Greater Duwamish","SW",,"Seattle","WA",,,,,
"Blogging Georgetown","http://www.facebook.com/Blogginggeorgetown",,,,"Facebook page","News, Events, 911 blotter",,,,,,"Community",,,,"Georgetown","Greater Duwamish","SW",,"Seattle","WA",,,,,
"Georgetown Art Center","http://georgetownartcenter.Blogspot.com/",,,,"Blog","Community arts",,,,,,"Community",,,,"Georgetown","Greater Duwamish","SW",,"Seattle","WA",,,,,
"Georgetown Neighborhood","http://www.georgetownneighborhood.com/",,,,"Website","Community council",,,,,,"Community",,,,"Georgetown","Greater Duwamish","SW",,"Seattle","WA",,,,,
"Georgetown Seattle","http://groups.yahoo.com/group/Georgetown-Seattle/",,,,"E-mail list","Community members",,,,,,"Community",,,,"Georgetown","Greater Duwamish","SW",,"Seattle","WA",,,,,
"Jefferson Park Alliance","http://www.cityofseattle.net/commnty/Beacon/groups/jpa/",,,,"Website","Community",,,,,,"Community",,,,"Beacon Hill","Greater Duwamish","SE",,"Seattle","WA",,,,,
"KOMO Communities - Beacon Hill","http://beaconhill.komoNews.com",,,,"Blog","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"Commercial",,,,"Beacon Hill","Greater Duwamish","SE",,"Seattle","WA",,,,,
"KOMO Communities - Georgetown","http://georgetown.komoNews.com",,,,"Blog","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"Commercial",,,,"Georgetown","Greater Duwamish","SW",,"Seattle","WA",,,,,
"Market On Wheels","http://marketonwheels.wordpress.com/",,,,"Blog","Farmers' market",,,,,,"Community",,,,"South Park","Greater Duwamish","S",,"Seattle","WA",,,,,
"nbeaconhillneighbors","http://groups.yahoo.com/group/nbeaconhillneighbors/",,,,"E-mail list","Community members",,,,,,"Community",,,,"Beacon Hill","Greater Duwamish","SE",,"Seattle","WA",,,,,
"North Beacon Hill","http://north-beacon-hill.Blogspot.com/",,,,"Blog","Community council",,,,,,"Community",,,,"Beacon Hill","Greater Duwamish","SE",,"Seattle","WA",,,,,
"North Beacon Hill Council","http://www.cityofseattle.net/commnty/Beacon/groups/nbhc/",,,,"Website","Community group",,,,,,"Community",,,,"Beacon Hill","Greater Duwamish","SE",,"Seattle","WA",,,,,
"Seattle Industry","http://www.seattleindustry.org/",,,,"Website","Seattle industry",,,,,,"Community",,,,"Industrial District","Greater Duwamish","S",,"Seattle","WA",,,,,
"SoDo Business Association","http://www.sodobusinessassociation.org/",,,,"Website","Business association",,,,,,"Community",,,,"Industrial District","Greater Duwamish","S",,"Seattle","WA",,,,,
"South Park Seattle","http://www.Myspace.com/southparkseattle",,,,"Myspace","Neighborhood info",,,,,,"Community",,,,"South Park","Greater Duwamish","S",,"Seattle","WA",,,,,
"yoursouthpark","http://groups.yahoo.com/group/yoursouthpark/",,,,"E-mail list","Community members",,,,,,"Community",,,,"South Park","Greater Duwamish","S",,"Seattle","WA",,,,,
"Cascade People's Center","http://www.cascadepeoplescenter.org/",,,,"Website","Non-profit",,,,,,"Community",,,,"South Lake Union","Lake Union","W",,"Seattle","WA",,,,,
"Discover SLU","http://www.discoverslu.com",,,,"Website","News, Events, Shopping, diNing",,,,,,"Commercial",,,,"South Lake Union","Lake Union","W",,"Seattle","WA",,,,,
"Discover SLU","http://www.facebook.com/discoverslu",,,,"Facebook page","News, Events, Shopping, diNing",,,,,,"Commercial",,,,"South Lake Union","Lake Union","W",,"Seattle","WA",,,,,
"Discover SLU","http://www.Twitter.com/southlakeunion",,,,"Twitter","News, Events, Shopping, diNing",,,,,,"Commercial",,,,"South Lake Union","Lake Union","W",,"Seattle","WA",,,,,
"Eastlake Ave. ","http://eastlakeave.neighborlogs.com/",,,,"Blog","News, traffic, Events, Criminal activity, Crime, Public Safety",,,,,,"Commercial",,,,"Eastlake","Lake Union","W",,"Seattle","WA",,,,,
"Eastlake Ave. ","http://Twitter.com/eastlakeave",,,,"Blog","Updates on Blog posts",,,,,,"Commercial",,,,"Eastlake","Lake Union","W",,"Seattle","WA",,,,,
"Eastlake Community Council","http://www.eastlakeseattle.org/",,,,"Website","Community council",,,,,,"Community",,,,"Eastlake","Lake Union","W",,"Seattle","WA",,,,,
"Eastlake Community Council","http://www.facebook.com/group.php?gid=7145111961",,,,"Facebook page","Community council",,,,,,"Community",,,,"Eastlake","Lake Union","W",,"Seattle","WA",,,,,
"Fremont Arts Council","http://groups.yahoo.com/group/fremontartscouncil/",,,,"E-mail list","Fremont arts council members, arts",,,,,,"Community",,,,"Fremont","Lake Union","NW",,"Seattle","WA",,,,,
"Fremont Arts Council","http://www.fremontartscouncil.org/",,,,"Website","Community group",,,,,,"Community",,,,"Fremont","Lake Union","NW",,"Seattle","WA",,,,,
"Fremont Chamber of Commerce","http://www.fremontseattle.com/",,,,"Website","Chamber of Commerce",,,,,,"Community",,,,"Fremont","Lake Union","NW",,"Seattle","WA",,,,,
"Fremont Universe","http://Twitter.com/fremontuniverse",,,,"Twitter","News, Events, Food, reviews",,,,,,"Commercial",,,,"Fremont","Lake Union","NW",,"Seattle","WA",,,,,
"Fremont Universe","http://www.facebook.com/pages/Fremont-Universe-Seattle/88279594341?ref=s",,,,"Facebook page","News, Events, Food, reviews",,,,,,"Commercial",,,,"Fremont","Lake Union","NW",,"Seattle","WA",,,,,
"Fremont Universe","http://www.fremontuniverse.com/",,,,"Blog","News, Events, Food, reviews",,,,,,"Commercial",,,,"Fremont","Lake Union","NW",,"Seattle","WA",,,,,
"Friends of Fremont Peak Park","http://www.fremontpeakpark.org/",,,,"Website","Community organization",,,,,,"Community",,,,"Fremont","Lake Union","NW",,"Seattle","WA",,,,,
"KOMO Communities - Fremont","http://fremont.komoNews.com",,,,"Blog","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"Commercial",,,,"Fremont","Lake Union","NW",,"Seattle","WA",,,,,
"KOMO Communities - South Lake Union","http://southlakeunion.komoNews.com",,,,"Blog","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"Commercial",,,,"South Lake Union","Lake Union","W",,"Seattle","WA",,,,,
"S Lake Union Friends and Neighbors Community Council","http://www.slufan.org/",,,,"Website","Community council",,,,,,"Community",,,,"South Lake Union","Lake Union","W",,"Seattle","WA",,,,,
"South Lake Union Chamber of Commerce","http://www.sluchamber.org/",,,,"Website","Chamber of Commerce",,,,,,"Community",,,,"South Lake Union","Lake Union","W",,"Seattle","WA",,,,,
"The South Lake Union Community Blog","http://www.thesouthlake.com/",,,,"Blog","News, Events, Personalized profile pages",,,,,,"Commercial",,,,"South Lake Union","Lake Union","W",,"Seattle","WA",,,,,
"Friends of Discovery Park","http://www.friendsdiscoverypark.org/",,,,"Website","Park issues",,,,,,"Community",,,,"Magnolia","Magnolia/Queen Anne","W",,"Seattle","WA",,,,,
"Interbay District Blog","http://www.interbaydistrict.com/",,,,"Blog","News, sports",,,,,,"Community",,,,"Interbay","Magnolia/Queen Anne","NW",,"Seattle","WA",,,,,
"Interbay Neighborhood Association","http://www.our-interbay.org/",,,,"Website","Neighborhood association",,,,,,"Community",,,,"Interbay","Magnolia/Queen Anne","NW",,"Seattle","WA",,,,,
"KOMO Communities - Magnolia","http://magnolia.komoNews.com",,,,"Blog","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"Commercial",,,,"Magnolia","Magnolia/Queen Anne","NW",,"Seattle","WA",,,,,
"KOMO Communities - Queen Anne","http://queenanne.komoNews.com",,,,"Blog","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"Commercial",,,,"Queen Anne","Magnolia/Queen Anne","W",,"Seattle","WA",,,,,
"Magnolia Action Group","http://www.orgsites.com/wa/mag/",,,,"Website","PlanNing issues",,,,,,"Community",,,,"Magnolia","Magnolia/Queen Anne","W",,"Seattle","WA",,,,,
"Magnolia Chamber of Commerce","http://www.magnoliachamber.org/",,,,"Website","Chamber of Commerce",,,,,,"Community",,,,"Magnolia","Magnolia/Queen Anne","W",,"Seattle","WA",,,,,
"Magnolia Historical Society","http://www.magnoliahistoricalsociety.org/",,,,"Website","Historical society",,,,,,"Community",,,,"Magnolia","Magnolia/Queen Anne","W",,"Seattle","WA",,,,,
"Magnolia is Really Part of Seattle","http://sleeplessinmagnolia.Ning.com/",,,,"Wiki","PlanNing issues",,,,,,"Community",,,,"Magnolia","Magnolia/Queen Anne","W",,"Seattle","WA",,,,,
"Magnolia Neighborhood PlanNing Council","http://magnolianpc.com/",,,,"Website","Neighborhood association",,,,,,"Community",,,,"Magnolia","Magnolia/Queen Anne","W",,"Seattle","WA",,,,,
"Magnolia Voice","http://Twitter.com/magnoliavoice",,,,"Twitter","News, Events, Criminal activity, Crime, Public Safety, Food",,,,,,"Commercial",,,,"Magnolia","Magnolia/Queen Anne","NW",,"Seattle","WA",,,,,
"Magnolia Voice","http://www.facebook.com/pages/Magnolia-Voice-Seattle/116057104388",,,,"Facebook page","News, Events, Criminal activity, Crime, Public Safety, Food",,,,,,"Commercial",,,,"Magnolia","Magnolia/Queen Anne","NW",,"Seattle","WA",,,,,
"Magnolia Voice","http://www.magnoliavoice.com/",,,,"Blog","News, Events, Criminal activity, Crime, Public Safety, Food",,,,,,"Commercial",,,,"Magnolia","Magnolia/Queen Anne","W",,"Seattle","WA",,,,,
"Queen Anne Chamber of Commerce","http://qachamber.org/",,,,"Website","Chamber of Commerce",,,,,,"Community",,,,"Queen Anne","Magnolia/Queen Anne","W",,"Seattle","WA",,,,,
"Queen Anne Community Council","http://www.qacc.net/",,,,"Website","Community council",,,,,,"Community",,,,"Queen Anne","Magnolia/Queen Anne","W",,"Seattle","WA",,,,,
"Queen Anne Examiner","http://www.examiner.com/x-8856-Seattle-Queen-Anne-Hill-Examiner",,,,"Blog","News, local issues",,,,,,"Commercial",,,,"Queen Anne","Magnolia/Queen Anne","W",,"Seattle","WA",,,,,
"Queen Anne Helpline","http://queenannehelpline.org/index.php",,,,"Website","Non-profit",,,,,,"Community",,,,"Queen Anne","Magnolia/Queen Anne","W",,"Seattle","WA",,,,,
"Queen Anne Historical Society","http://www.qahistory.org/",,,,"Website","Historical society",,,,,,"Community",,,,"Queen Anne","Magnolia/Queen Anne","W",,"Seattle","WA",,,,,
"Queen Anne View","http://www.queenanneview.com/",,,,"Blog","News, Events, reviews",,,,,,"Commercial",,,,"Queen Anne","Magnolia/Queen Anne","W",,"Seattle","WA",,,,,
"Rosiehood","http://Twitter.com/Roosiehood",,,,"Twitter","News, Events, Human interest, Criminal activity, Crime, Public Safety",,,,,,"Community",,,,"Roosevelt","NE","NE",,"Seattle","WA",,,,,
"Rosiehood","http://www.facebook.com/pages/Roosevelt-Neighborhood-Blog/133948283288085",,,,"Facebook page","News, Events, Human interest, Criminal activity, Crime, Public Safety",,,,,,"Community",,,,"Roosevelt","NE","NE",,"Seattle","WA",,,,,
"Rosiehood","http://www.roosiehood.com/",,,,"Blog","News, Events, Human interest, Criminal activity, Crime, Public Safety",,,,,,"Community",,,,"Roosevelt","NE","NE",,"Seattle","WA",,,,,
"Haller Lake Community Club","http://www.hallerlake.info/welcome.html",,,,"Website","Community organization",,,,,,"Community",,,,"Haller Lake","North","N",,"Seattle","WA",,,,,
"KOMO Communities - Lake City","http://lakecity.komoNews.com",,,,"Blog","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"Commercial",,,,"Lake City","North","NE",,"Seattle","WA",,,,,
"KOMO Communities - North Seattle","http://northseattle.komoNews.com",,,,"Blog","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"Commercial",,,,"North Seattle","North","N",,"Seattle","WA",,,,,
"Lake City Live","http://www.lakecitylive.net/",,,,"Blog","News, Criminal activity, Crime, Public Safety, Food, Drink, reviews",,,,,,"Commercial",,,,"Lake City","North","NE",,"Seattle","WA",,,,,
"Maple Leaf Life","http://Twitter.com/mapleleaflife",,,,"Twitter","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"Commercial",,,,"Maple Leaf","North","N ",,"Seattle","WA",,,,,
"Maple Leaf Life","http://www.facebook.com/pages/Seattle-WA/Maple-Leaf-Life/298056021657",,,,"Facebook page","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"Commercial",,,,"Maple Leaf","North","N",,"Seattle","WA",,,,,
"Maple Leaf Life","http://www.mapleleaflife.com/",,,,"Blog","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"Commercial",,,,"Maple Leaf","North","N",,"Seattle","WA",,,,,
"Northgate Chamber of Commerce","http://www.northgatechamber.com/",,,,"Website","Chamber of Commerce",,,,,,"Community",,,,"Northgate","North","NE",,"Seattle","WA",,,,,
"Pinehurst Seattle","http://pinehurstseattle.org",,,,"Blog","News, Events, issues",,,,,,"Community",,,,"Pinehurst","North","NE",,"Seattle","WA",,,,,
"Pinehurst Seattle","http://Twitter.com/pinehurstsea",,,,"Twitter","News, Events, issues",,,,,,"Community",,,,"Pinehurst","North","NE",,"Seattle","WA",,,,,
"Pinehurst Seattle","http://www.facebook.com/#!/group.php?gid=53590206898&v=wall&ref=search",,,,"Facebook page","News, Events, issues",,,,,,"Community",,,,"Pinehurst","North","NE",,"Seattle","WA",,,,,
"The Maple Leafer","http://Twitter.com/themapleleafer",,,,"Twitter","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"Commercial",,,,"Maple Leaf","North","N",,"Seattle","WA",,,,,
"The Maple Leafer","http://www.facebook.com/pages/The-Maple-Leafer/110782042284727",,,,"Facebook page","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"Commercial",,,,"Maple Leaf","North","N",,"Seattle","WA",,,,,
