name,url,calendar_url,email,contact,type_group,categories,description,notes,source,activity_level,audience_size,ownership,image,location,address,neighborhood,district,region,city,state,area_code,latitude,longitude,location_geo
14th Ave NW Visioning Project,http://www.14avenw.org/,http://www.example2.com/calendar,email@example.com,Contact Name,website,road development,This is description,This is notes,This is source,Multiple Daily,"1,000-10,000",community,http://example.com/image.jpg,This is location,This is address,Ballard,Ballard,NW,Seattle,WA,510,55,-122,(55 -122)
White Center Community Development Association,http://www.wccda.org/home,,,,website,nonprofit,,,,,,community,,,,White Center,Delridge,SW,Seattle,WA
White Center Community Development Association blog,http://twitter.com/whitecentercda,,,,website,nonprofit,,,,,,community,,,,White Center,Delridge,SW,Seattle,WA
White Center Now,http://whitecenternow.com/,,,,blog,"news, events, food",,,,,,community,,,,White Center,Delridge,SW,Seattle,WA
Youngstown Cultural Arts Center,http://youngstownarts.org,,,,website,arts,,,,,,community,,,,Delridge,Delridge,SW,Seattle,WA
All About Belltown,http://www.belltown.org/,,,,website,lifestyle; linked to cmty and bus associations,,,,,,community,,,,Belltown,Downtown,W,Seattle,WA
belltown,http://www.belltownpeople.com/,,,,blog,"news, events",,,,,,commercial,,,,Belltown,Downtown,W,Seattle,WA
Belltown Community Council,http://www.belltowncommunitycouncil.org/,,,,website,community council,,,,,,community,,,,Belltown,Downtown,W,Seattle,WA
Chinatown/International District,http://www.cidbia.org/,,,,website,business improvement association,,,,,,community,,,,International District,Downtown,W,Seattle,WA
Chinese Information and Service Center,http://www.cisc-seattle.org/,,,,website,"referral, advocacy, support services",,,,,,nonprofit,,,,International District,Downtown,W,Seattle,WA
Downtown Dispatch,http://downtowndispatch.com/,,,,blog,news and events,,,,,,commercial,,,,Downtown,Downtown,W,Seattle,WA
Downtown Seattle Association,http://www.downtownseattle.com/,,,,website,business association,,,,,,,,,,Downtown,Downtown,W,Seattle,WA
KOMO Communities - Downtown,http://downtown.komonews.com,,,,blog,"news, events, human interest, criminal activity, shopping",,,,,,commercial,,,,Downtown,Downtown,W,Seattle,WA
Pioneer Square Community Association,http://www.pioneersquare.org/,,,,website,community organization,,,,,,community,,,,Pioneer Square,Downtown,W,Seattle,WA
SCIPDA,http://www.scidpda.org/,,,,website,public development authority,,,,,,community,,,,International District,Downtown,W,Seattle,WA
Seattle Chinatown Guide,http://www.chinatownconnection.com/seattle-chinatown-international-district.htm,,,,website,"food, shopping",,,,,,commercial,,,,International District,Downtown,W,Seattle,WA
SoDo Business Association,http://www.sodobusinessassociation.org/,,,,website,business association,,,,,,community,,,,SoDo,Downtown,S,Seattle,WA
Wing Luke Asian Museum,http://www.wingluke.org/,,,,website,museum,,,,,,community,,,,International District,Downtown,W,Seattle,WA
15th Ave Community,http://groups.yahoo.com/group/15thAve_Community/,,,,email list,15th avenue residents,,,,,,community,,,,Capitol Hill,East,E,Seattle,WA
Capitol Hill Community Council,http://chcc.wikidot.com/,,,,wiki,"community council, news, events",,,,,,community,,,,Capitol Hill,East,E,Seattle,WA
Capitol Hill Housing,http://capitolhillhousing.org/,,,,website,affordable housing,,,,,,community,,,,Capitol Hill,East,E,Seattle,WA
Capitol Hill Triangle,http://chtriangle.blogspot.com/,,,,blog,local miscellany ,,,,,,commercial,,,,Capitol Hill,East,E,Seattle,WA
CHS Capitol Hill Seattle Blog,http://www.capitolhillseattle.com/,,,,blog,"news, events, food, drink, criminal activity",,,,,,commercial,,,,Capitol Hill,East,E,Seattle,WA
First Hill Improvement Association,http://www.firsthill.org/,,,,website,neighborhood association,,,,,,community,,,,First Hill,East,E,Seattle,WA
KOMO Communities - Captol Hill,http://capitolhill.komonews.com,,,,blog,"news, events, human interest, criminal activity, shopping",,,,,,commercial,,,,Capitol Hill,East,E,Seattle,WA
KOMO Communities - Central District,http://centraldistrict.komonews.com,,,,blog,"news, events, human interest, criminal activity, shopping",,,,,,commercial,,,,Central District,East,E ,Seattle,WA
KOMO Communities - Madison Park,http://madisonpark.komonews.com,,,,blog,"news, events, human interest, criminal activity, shopping",,,,,,commercial,,,,Madison Park,East,E,Seattle,WA
Madison Park Blogger,http://madisonparkblogger.blogspot.com/,,,,blog,"news, housing prices, events",,,,,,commercial,,,,Madison Park,East,E,Seattle,WA
Madison Park Business Association,http://www.madisonparkseattle.com/,,,,website,business association,,,,,,community,,,,Madison Park,East,E,Seattle,WA
Miller Park Neighborhood Association,http://millerparkseattle.blogspot.com/,,,,blog,"neighborhood association; news, events",,,,,,community,,,,Miller Park,East,E,Seattle,WA
North Capitol Hill Neighborhood Association,http://www.nchna.com/,,,,website,"meeting notes, relevant news",,,,,,community,,,,Capitol Hill,East,E,Seattle,WA
Seattle Central Community College,http://seattlecentral.edu/,,,,website,college,,,,,,,,,,Capitol Hill,East,E,Seattle,WA
Your Capitol Hill,http://www.yourcapitolhill.com/,,,,website,"dining, events, nightlife, shopping",,,,,,community,,,,Capitol Hill,East,E,Seattle,WA
All About South Park,http://www.allaboutsouthpark.com/,,,,website,neighborhood info,,,,,,community,,,,South Park,Greater Duwamish,S,Seattle,WA
Beacon Hill Alliance of Neighbors,http://www.cityofseattle.net/ban/,,,,website,"community, public safety",,,,,,community,,,,Beacon Hill,Greater Duwamish,SE,Seattle,WA
Beacon Hill Blog,http://beaconhill.seattle.wa.us/,,,,blog,"news, events, food, nightlife, criminal activity",,,,,,commercial,,,,Beacon Hill,Greater Duwamish,SE,Seattle,WA
Beacon Hill Burglaries,http://maps.google.com/maps/ms?ie=UTF8&hl=en&msa=0&msid=107398592337461190820.000449fcf97ff8bfbe281&z=14or,,,,email list,criminal activity,,,,,,community,,,,Beacon Hill,Greater Duwamish,SE,Seattle,WA
Beacon Hill Community Site,http://beaconhillcommunity.wetpaint.com/,,,,wiki,"news, announcements, community concerns",,,,,,commercial,,,,Beacon Hill,Greater Duwamish,SE,Seattle,WA
Blogging Georgetown,http://www.blogginggeorgetown.com/,,,,blog,"news, events, 911 blotter",,,,,,commercial,,,,Georgetown,Greater Duwamish,SW,Seattle,WA
Blogging Georgetown,http://www.facebook.com/blogginggeorgetown,,,,facebook page,"news, events, 911 blotter",,,,,,community,,,,Georgetown,Greater Duwamish,SW,Seattle,WA
Georgetown Art Center,http://georgetownartcenter.blogspot.com/,,,,blog,community arts,,,,,,community,,,,Georgetown,Greater Duwamish,SW,Seattle,WA
Georgetown Neighborhood,http://www.georgetownneighborhood.com/,,,,website,community council,,,,,,community,,,,Georgetown,Greater Duwamish,SW,Seattle,WA
Georgetown Seattle,http://groups.yahoo.com/group/Georgetown-Seattle/,,,,email list,community members,,,,,,community,,,,Georgetown,Greater Duwamish,SW,Seattle,WA
Jefferson Park Alliance,http://www.cityofseattle.net/commnty/Beacon/groups/jpa/,,,,website,community,,,,,,community,,,,Beacon Hill,Greater Duwamish,SE,Seattle,WA
KOMO Communities - Beacon Hill,http://beaconhill.komonews.com,,,,blog,"news, events, human interest, criminal activity, shopping",,,,,,commercial,,,,Beacon Hill,Greater Duwamish,SE,Seattle,WA
KOMO Communities - Georgetown,http://georgetown.komonews.com,,,,blog,"news, events, human interest, criminal activity, shopping",,,,,,commercial,,,,Georgetown,Greater Duwamish,SW,Seattle,WA
Market On Wheels,http://marketonwheels.wordpress.com/,,,,blog,farmers' market,,,,,,community,,,,South Park,Greater Duwamish,S,Seattle,WA
nbeaconhillneighbors,http://groups.yahoo.com/group/nbeaconhillneighbors/,,,,email list,community members,,,,,,community,,,,Beacon Hill,Greater Duwamish,SE,Seattle,WA
North Beacon Hill,http://north-beacon-hill.blogspot.com/,,,,blog,community council,,,,,,community,,,,Beacon Hill,Greater Duwamish,SE,Seattle,WA
North Beacon Hill Council,http://www.cityofseattle.net/commnty/Beacon/groups/nbhc/,,,,website,community group,,,,,,community,,,,Beacon Hill,Greater Duwamish,SE,Seattle,WA
Seattle Industry,http://www.seattleindustry.org/,,,,website,seattle industry,,,,,,community,,,,Industrial District,Greater Duwamish,S,Seattle,WA
SoDo Business Association,http://www.sodobusinessassociation.org/,,,,website,business association,,,,,,community,,,,Industrial District,Greater Duwamish,S,Seattle,WA
South Park Seattle,http://www.myspace.com/southparkseattle,,,,myspace,neighborhood info,,,,,,community,,,,South Park,Greater Duwamish,S,Seattle,WA
yoursouthpark,http://groups.yahoo.com/group/yoursouthpark/,,,,email list,community members,,,,,,community,,,,South Park,Greater Duwamish,S,Seattle,WA
Cascade People's Center,http://www.cascadepeoplescenter.org/,,,,website,nonprofit,,,,,,community,,,,South Lake Union,Lake Union,W,Seattle,WA
Discover SLU,http://www.discoverslu.com,,,,website,"news, events, shopping, dining",,,,,,commercial,,,,South Lake Union,Lake Union,W,Seattle,WA
Discover SLU,http://www.facebook.com/discoverslu,,,,facebook page,"news, events, shopping, dining",,,,,,commercial,,,,South Lake Union,Lake Union,W,Seattle,WA
Discover SLU,http://www.twitter.com/southlakeunion,,,,twitter,"news, events, shopping, dining",,,,,,commercial,,,,South Lake Union,Lake Union,W,Seattle,WA
Eastlake Ave. ,http://eastlakeave.neighborlogs.com/,,,,blog,"news, traffic, events, criminal activity",,,,,,commercial,,,,Eastlake,Lake Union,W,Seattle,WA
Eastlake Ave. ,http://twitter.com/eastlakeave,,,,blog,updates on blog posts,,,,,,commercial,,,,Eastlake,Lake Union,W,Seattle,WA
Eastlake Community Council,http://www.eastlakeseattle.org/,,,,website,community council,,,,,,community,,,,Eastlake,Lake Union,W,Seattle,WA
Eastlake Community Council,http://www.facebook.com/group.php?gid=7145111961,,,,facebook page,community council,,,,,,community,,,,Eastlake,Lake Union,W,Seattle,WA
Fremont Arts Council,http://groups.yahoo.com/group/fremontartscouncil/,,,,email list,fremont arts council members,,,,,,community,,,,Fremont,Lake Union,NW,Seattle,WA
Fremont Arts Council,http://www.fremontartscouncil.org/,,,,website,communtiy group,,,,,,community,,,,Fremont,Lake Union,NW,Seattle,WA
Fremont Chamber of Commerce,http://www.fremontseattle.com/,,,,website,chamber of commerce,,,,,,community,,,,Fremont,Lake Union,NW,Seattle,WA
Fremont Universe,http://twitter.com/fremontuniverse,,,,twitter,"news, events, food, reviews",,,,,,commercial,,,,Fremont,Lake Union,NW,Seattle,WA
Fremont Universe,http://www.facebook.com/pages/Fremont-Universe-Seattle/88279594341?ref=s,,,,facebook page,"news, events, food, reviews",,,,,,commercial,,,,Fremont,Lake Union,NW,Seattle,WA
Fremont Universe,http://www.fremontuniverse.com/,,,,blog,"news, events, food, reviews",,,,,,commercial,,,,Fremont,Lake Union,NW,Seattle,WA
Friends of Fremont Peak Park,http://www.fremontpeakpark.org/,,,,website,community organization,,,,,,community,,,,Fremont,Lake Union,NW,Seattle,WA
KOMO Communities - Fremont,http://fremont.komonews.com,,,,blog,"news, events, human interest, criminal activity, shopping",,,,,,commercial,,,,Fremont,Lake Union,NW,Seattle,WA
KOMO Communities - South Lake Union,http://southlakeunion.komonews.com,,,,blog,"news, events, human interest, criminal activity, shopping",,,,,,commercial,,,,South Lake Union,Lake Union,W,Seattle,WA
S Lake Union Friends and Neighbors Community Council,http://www.slufan.org/,,,,website,community council,,,,,,community,,,,South Lake Union,Lake Union,W,Seattle,WA
South Lake Union Chamber of Commerce,http://www.sluchamber.org/,,,,website,chamber of commerce,,,,,,community,,,,South Lake Union,Lake Union,W,Seattle,WA
The South Lake Union Community Blog,http://www.thesouthlake.com/,,,,blog,"news, events, personalized profile pages",,,,,,commercial,,,,South Lake Union,Lake Union,W,Seattle,WA
Friends of Discovery Park,http://www.friendsdiscoverypark.org/,,,,website,park issues,,,,,,community,,,,Magnolia,Magnolia/Queen Anne,W,Seattle,WA
Interbay District Blog,http://www.interbaydistrict.com/,,,,blog,"news, sports",,,,,,community,,,,Interbay,Magnolia/Queen Anne,NW,Seattle,WA
Interbay Neighborhood Association,http://www.our-interbay.org/,,,,website,neighborhood association,,,,,,community,,,,Interbay,Magnolia/Queen Anne,NW,Seattle,WA
KOMO Communities - Magnolia,http://magnolia.komonews.com,,,,blog,"news, events, human interest, criminal activity, shopping",,,,,,commercial,,,,Magnolia,Magnolia/Queen Anne,NW,Seattle,WA
KOMO Communities - Queen Anne,http://queenanne.komonews.com,,,,blog,"news, events, human interest, criminal activity, shopping",,,,,,commercial,,,,Queen Anne,Magnolia/Queen Anne,W,Seattle,WA
Magnolia Action Group,http://www.orgsites.com/wa/mag/,,,,website,planning issues,,,,,,community,,,,Magnolia,Magnolia/Queen Anne,W,Seattle,WA
Magnolia Chamber of Commerce,http://www.magnoliachamber.org/,,,,website,chamber of commerce,,,,,,community,,,,Magnolia,Magnolia/Queen Anne,W,Seattle,WA
Magnolia Historical Society,http://www.magnoliahistoricalsociety.org/,,,,website,historical society,,,,,,community,,,,Magnolia,Magnolia/Queen Anne,W,Seattle,WA
Magnolia is Really Part of Seattle,http://sleeplessinmagnolia.ning.com/,,,,wiki,planning issues,,,,,,community,,,,Magnolia,Magnolia/Queen Anne,W,Seattle,WA
Magnolia Neighborhood Planning Council,http://magnolianpc.com/,,,,website,neighborhood association,,,,,,community,,,,Magnolia,Magnolia/Queen Anne,W,Seattle,WA
Magnolia Voice,http://twitter.com/magnoliavoice,,,,twitter,"news, events, criminal activity, food",,,,,,commercial,,,,Magnolia,Magnolia/Queen Anne,NW,Seattle,WA
Magnolia Voice,http://www.facebook.com/pages/Magnolia-Voice-Seattle/116057104388,,,,facebook page,"news, events, criminal activity, food",,,,,,commercial,,,,Magnolia,Magnolia/Queen Anne,NW,Seattle,WA
Magnolia Voice,http://www.magnoliavoice.com/,,,,blog,"news, events, criminal activity, food",,,,,,commercial,,,,Magnolia,Magnolia/Queen Anne,W,Seattle,WA
Queen Anne Chamber of Commerce,http://qachamber.org/,,,,website,chamber of commerce,,,,,,community,,,,Queen Anne,Magnolia/Queen Anne,W,Seattle,WA
Queen Anne Community Council,http://www.qacc.net/,,,,website,community council,,,,,,community,,,,Queen Anne,Magnolia/Queen Anne,W,Seattle,WA
Queen Anne Examiner,http://www.examiner.com/x-8856-Seattle-Queen-Anne-Hill-Examiner,,,,blog,"news, local issues",,,,,,commercial,,,,Queen Anne,Magnolia/Queen Anne,W,Seattle,WA
Queen Anne Helpline,http://queenannehelpline.org/index.php,,,,website,nonprofit,,,,,,community,,,,Queen Anne,Magnolia/Queen Anne,W,Seattle,WA
Queen Anne Historical Society,http://www.qahistory.org/,,,,website,historical society,,,,,,community,,,,Queen Anne,Magnolia/Queen Anne,W,Seattle,WA
Queen Anne View,http://www.queenanneview.com/,,,,blog,"news, events, reviews",,,,,,commercial,,,,Queen Anne,Magnolia/Queen Anne,W,Seattle,WA
Rosiehood,http://twitter.com/Roosiehood,,,,twitter,"news, events, human interest, criminal activity",,,,,,community,,,,Roosevelt,NE,NE,Seattle,WA
Rosiehood,http://www.facebook.com/pages/Roosevelt-Neighborhood-Blog/133948283288085,,,,facebook page,"news, events, human interest, criminal activity",,,,,,community,,,,Roosevelt,NE,NE,Seattle,WA
Rosiehood,http://www.roosiehood.com/,,,,blog,"news, events, human interest, criminal activity",,,,,,community,,,,Roosevelt,NE,NE,Seattle,WA
Haller Lake Community Club,http://www.hallerlake.info/welcome.html,,,,website,community organization,,,,,,community,,,,Haller Lake,North,N,Seattle,WA
KOMO Communities - Lake City,http://lakecity.komonews.com,,,,blog,"news, events, human interest, criminal activity, shopping",,,,,,commercial,,,,Lake City,North,NE,Seattle,WA
KOMO Communities - North Seattle,http://northseattle.komonews.com,,,,blog,"news, events, human interest, criminal activity, shopping",,,,,,commercial,,,,North Seattle,North,N,Seattle,WA
Lake City Live,http://www.lakecitylive.net/,,,,blog,"news, criminal activity, food, drink, reviews",,,,,,commercial,,,,Lake City,North,NE,Seattle,WA
Maple Leaf Life,http://twitter.com/mapleleaflife,,,,twitter,"news, events, human interest, criminal activity, shopping",,,,,,commercial,,,,Maple Leaf,North,N ,Seattle,WA
Maple Leaf Life,http://www.facebook.com/pages/Seattle-WA/Maple-Leaf-Life/298056021657,,,,facebook page,"news, events, human interest, criminal activity, shopping",,,,,,commercial,,,,Maple Leaf,North,N,Seattle,WA
Maple Leaf Life,http://www.mapleleaflife.com/,,,,blog,"news, events, human interest, criminal activity, shopping",,,,,,commercial,,,,Maple Leaf,North,N,Seattle,WA
Northgate Chamber of Commerce,http://www.northgatechamber.com/,,,,website,chamber of commerce,,,,,,community,,,,Northgate,North,NE,Seattle,WA
Pinehurst Seattle,http://pinehurstseattle.org,,,,blog,"news, events, issues",,,,,,community,,,,Pinehurst,North,NE,Seattle,WA
Pinehurst Seattle,http://twitter.com/pinehurstsea,,,,twitter,"news, events, issues",,,,,,community,,,,Pinehurst,North,NE,Seattle,WA
Pinehurst Seattle,http://www.facebook.com/#!/group.php?gid=53590206898&v=wall&ref=search,,,,facebook page,"news, events, issues",,,,,,community,,,,Pinehurst,North,NE,Seattle,WA
The Maple Leafer,http://twitter.com/themapleleafer,,,,twitter,"news, events, human interest, criminal activity, shopping",,,,,,commercial,,,,Maple Leaf,North,N,Seattle,WA
The Maple Leafer,http://www.facebook.com/pages/The-Maple-Leafer/110782042284727,,,,facebook page,"news, events, human interest, criminal activity, shopping",,,,,,commercial,,,,Maple Leaf,North,N,Seattle,WA
The Maple Leafer,http://www.themapleleafer.com/,,,,blog,"news, events, human interest, criminal activity, shopping",,,,,,commercial,,,,Maple Leaf,North,N,Seattle,WA
Aurora Seattle,http://www.auroraseattle.com/,,,,blog,"news, traffic, planning",,,,,,community,,,,Regional Sites,Northeast,NE,Seattle,WA
Hawthorne Hills Community Website,http://www.seattle.gov/hawthornehills/index.htm,,,,website,community council,,,,,,community,,,,Hawthorne Hills,Northeast,NE,Seattle,WA
KOMO Communities - U-District,http://udistrict.komonews.com,,,,blog,"news, events, human interest, criminal activity, shopping",,,,,,commercial,,,,University District,Northeast,NE,Seattle,WA
KOMO Communities - View Ridge,http://viewridge.komonews.com,,,,blog,"news, events, human interest, criminal activity, shopping",,,,,,commercial,,,,View Ridge,Northeast,NE,Seattle,WA
Laurelhurst Community Club,http://www.laurelhurstcc.com/,,,,website,community club,,,,,,community,,,,Laurelhurst,Northeast,NE,Seattle,WA
Magnuson Community Garden,http://cityofseattle.net/MAGNUSONGARDEN,,,,website,garden,,,,,,,,,,Laurelhurst,Northeast,NE,Seattle,WA
Magnuson Environmental Stewardship Alliance,http://mesaseattle.org/,,,,website,park issues,,,,,,community,,,,Laurelhurst,Northeast,NE,Seattle,WA
Maple Leaf Community Council,http://www.mapleleafcommunity.org/,,,,website,"community council, email list available",,,,,,community,,,,Maple Leaf,Northeast,NE,Seattle,WA
Ravenna Blog,http://twitter.com/ravennablog,,,,twitter,"news, events, human interest, criminal activity, food, shopping",,,,,,community,,,,Ravenna,Northeast,NE,Seattle,WA
Ravenna Blog,http://www.facebook.com/pages/Ravenna-Blog/116280421718247,,,,facebook page,"news, events, human interest, criminal activity, food, shopping",,,,,,community,,,,Ravenna,Northeast,NE,Seattle,WA
Ravenna Blog,http://www.ravennablog.com/,,,,blog,"news, events, human interest, criminal activity, food, shopping",,,,,,community,,,,Ravenna,Northeast,NE,Seattle,WA
Ravenna-Bryant Community Association,http://www.facebook.com/pages/Ravenna-Bryant-Community-Association/153638664651035,,,,facebook page,community association,,,,,,community,,,,Ravenna,Northeast,NE,Seattle,WA
Ravenna-Bryant Community Association,http://www.ravennabryant.org/,,,,website,community association,,,,,,community ,,,,Ravenna,Northeast,NE,Seattle,WA
Roosevelt Neighborhood Association,http://rooseveltseattle.org/default.aspx,,,,website,neighborhood association,,,,,,community,,,,Roosevelt,Northeast,NE,Seattle,WA
Roosevelt Neighborhood Association,http://www.facebook.com/group.php?gid=178766520060,,,,facebook page,neighborhood association,,,,,,community,,,,Roosevelt,Northeast,NE,Seattle,WA
Roosevelt Neighbors' Alliance,http://www.rooseveltneighborsalliance.org/main/Roosevelt_Neighbors_Alliance.html,,,,website,neighborhood association,,,,,,community,,,,Roosevelt,Northeast,NE,Seattle,WA
Roosevelt Seattle,http://twitter.com/roosieseattle,,,,twitter,"news, events",,,,,,community,,,,Roosevelt,Northeast,NE,Seattle,WA
Sustainable Northeast Seattle,http://sustainableneseattle.ning.com/,,,,ning,community group,,,,,,community,,,,"Wedgwood, Laurelhurst, Ravenna, Roosevelt",Northeast,NE,Seattle,WA
The Laurelhurst Blog,http://thelaurelhurstblog.blogspot.com/,,,,blog,"news, events",,,,,,community,,,,Laurelhurst,Northeast,NE,Seattle,WA
The Wedgwood Blog,http://wedgwoodblog.spaces.live.com/default.aspx,,,,blog,"news, events",,,,,,commercial,,,,Wedgwood,Northeast,NE,Seattle,WA
Thornton Creek Alliance,http://www.scn.org/tca/,,,,website,community group,,,,,,,,,,Thornton Creek,Northeast,NE,Seattle,WA
U District Daily,http://www.udistrictdaily.com/,,,,blog,"news, events, human interest, criminal activity, shopping",,,,,,commercial,,,,University District,Northeast,NE,Seattle,WA
University District Business Improvement Area,http://www.udistrictchamber.org/UDBIA/index.html,,,,website,business association,,,,,,community,,,,University District,Northeast,NE,Seattle,WA
University District Food Bank,http://www.facebook.com/pages/Seattle-WA/University-District-Food-Bank/47523824407,,,,facebook page,food bank,,,,,,community,,,,University District,Northeast,NE,Seattle,WA
University District Food Bank,http://www.udistrictfoodbank.org/,,,,website,food bank,,,,,,community,,,,University District,Northeast,NE,Seattle,WA
University District Seattle,http://www.udistrictchamber.org/GUCC/GUCC.html,,,,website,chamber of commerce,,,,,,community,,,,University District,Northeast,NE,Seattle,WA
University District Service Fund,http://www.udistrictchamber.org/udistrictservicefund/index.html,,,,website,nonprofit,,,,,,community,,,,University District,Northeast,NE,Seattle,WA
Wedgwood Block Watch,http://www.wedgwoodcc.org/wwbw/,,,,website,block watch,,,,,,community,,,,Wedgwood,Northeast,NE,Seattle,WA
Wedgwood Community Council,http://www.wedgwoodcc.org/,,,,website,community council,,,,,,community,,,,Wedgwood,Northeast,NE,Seattle,WA
